Image	Object ID	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Num points	Area µm^2	Perimeter µm
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	9e1500f7-1227-475b-bbc0-74607e9099c1	Tumor	Tumor	Image	Polygon	37128	11862.7		92851.6	1516.1
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	6066d78b-69e6-4588-b89a-0a54f7a8e2af	Tumor	Tumor	Image	Polygon	36984.3	11986.7		1314.2	268.3
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	4facbddf-7b32-4272-b960-b2944db5f941	Tumor	Tumor	Image	Polygon	35234.5	7304.7		179403.1	2698.5
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	4fbe3b52-4165-4c12-8c2a-f9d18ea11a2a	Tumor	Tumor	Image	Polygon	35471	7151.7		1747.8	180.35
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	128fb6ad-5a80-4f72-a5cd-963561345660	Tumor	Tumor	Image	Polygon	30306.3	3756.2		2056.6	219.91
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	50e6cf96-05a8-45df-b176-5277b449ae83	Tumor	Tumor	Image	Geometry	30157.6	3640.2		63174.8	1473
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	38747553-f263-43aa-a77d-6b4e17df3411	Tumor	Tumor	Image	Polygon	30087.3	3902.5		2117.3	224.74
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	9da3b292-dd37-4c2d-a886-ab4d63ec0f35	Tumor	Tumor	Image	Polygon	30482.3	15288.8		377.61	89.36
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	0f66e36b-0048-4e8e-a786-2a397e26685b	Tumor	Tumor	Image	Polygon	31859.3	4314.1		812.94	137.8
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	c83b0f20-2e46-4e0c-8807-5eabbb876929	Tumor	Tumor	Image	Polygon	33692.1	8330.3		3772.6	310.21
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	15128b48-bb42-42cf-8898-afc2f80c6eef	stroma 5	stroma 5	Image	Polygon	33140.5	7868		826238.3	3892.4
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	23c75c97-34f5-4e60-ac06-af6c1226d57f	fibroblasts	fibroblasts	stroma 5	Points	33016.9	7883	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	c6be5a14-aa19-4281-8c25-af7d18764a54	fibroblasts	fibroblasts	stroma 5	Points	33035.2	7878.6	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	2f9f1b9e-0b9f-413e-ba2b-3f9600f394cb	fibroblasts	fibroblasts	stroma 5	Points	33047.4	7873.7	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	5f69b641-f523-4158-86c6-a5dc7583f95a	fibroblasts	fibroblasts	stroma 5	Points	33055.7	7878.5	1		
