"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj"
"Ngfr" 0 12.7418588347718 1 0 0
"Ggt5" 2.91114154990905e-42 2.25717246897509 0.588 0.114 6.46593649650298e-38
"Gm12248" 2.4889723045741e-39 4.89308608948365 0.113 0.003 5.52825638568954e-35
"Entpd2" 3.80511356794784e-34 2.11204686017051 0.732 0.232 8.45153774576895e-30
"Apod" 4.26188664507128e-34 2.70124874683467 0.392 0.063 9.46607642736783e-30
"Adh1" 4.4171736365148e-32 2.81998907459441 0.412 0.075 9.81098436406301e-28
"Mest" 8.16497738816381e-31 2.09954046885084 0.464 0.094 1.81352312768506e-26
"Slfn5" 6.06482049146033e-30 1.99072522142725 0.784 0.288 1.34705727935825e-25
"Hpca" 1.30246917088206e-29 3.97297120792758 0.113 0.005 2.89291427544615e-25
"Igsf10" 1.01846853373679e-28 1.92727940123939 0.619 0.177 2.26212046028278e-24
"Ldb2" 1.19097934827877e-28 2.69828997829414 0.268 0.035 2.64528423046197e-24
"Sned1" 2.01083297074811e-26 2.26192289259879 0.66 0.228 4.46626111132863e-22
"Ntrk2" 2.3866841480018e-26 1.88936164412122 0.433 0.094 5.3010641611268e-22
"Cyp26b1" 3.16749011657056e-26 2.28150868060138 0.443 0.103 7.03531229791486e-22
"Cygb" 5.70979026505323e-26 1.54065685644047 0.845 0.402 1.26820151577097e-21
"Iigp1" 1.3860938787605e-25 2.06095743692924 0.773 0.312 3.07865311411495e-21
"Abca8a" 2.97341451226766e-25 1.72278092590417 0.443 0.1 6.60425097319771e-21
"Fign" 2.2341071183857e-24 2.176378870025 0.464 0.116 4.96217532064647e-20
"Inmt" 5.5852607429928e-24 3.51502741867926 0.175 0.018 1.24054226362613e-19
"B2m" 5.94116299201059e-24 1.09667103202637 1 0.93 1.31959171215547e-19
"Atp1a2" 1.9293839599018e-23 1.81071487864677 0.423 0.097 4.28535471333788e-19
"Clec3b" 2.39086273716649e-23 1.43821480184914 0.639 0.219 5.31034522552048e-19
"Ifi207" 3.74579779246013e-23 1.91999330959575 0.505 0.143 8.31979147683319e-19
"Lama2" 3.75360870421787e-23 1.62620527130241 0.546 0.155 8.3371402929383e-19
"Gdf10" 7.7166333138176e-23 1.43076397933041 0.454 0.111 1.71394142533203e-18
"Gm4951" 8.76916505867552e-23 2.0302929852111 0.423 0.101 1.94771925118242e-18
"Ms4a4d" 1.40803338048942e-22 1.68974053340157 0.619 0.208 3.12738294140505e-18
"Dpep1" 3.55624021317145e-22 1.62666625301927 0.639 0.229 7.89876513747511e-18
"Eng" 6.80374239570889e-22 1.77791920689311 0.608 0.209 1.5111792235109e-17
"Igfbp7" 9.53595148668741e-22 1.15516583762406 0.969 0.834 2.11803018470814e-17
"Sept4" 1.20711205917751e-21 2.01926027405297 0.454 0.121 2.68111659463918e-17
"Ifi27l2a" 2.85693901370048e-21 1.51499265224223 0.753 0.327 6.34554724333014e-17
"Ifi203" 3.4657282317549e-21 1.56337310730572 0.711 0.286 7.69772897555082e-17
"Col4a4" 3.96384919942064e-21 2.7286362971896 0.165 0.018 8.80410545683318e-17
"Vtn" 4.66238464624478e-21 1.91169707410552 0.33 0.069 1.03556225377743e-16
"Col14a1" 4.88715306232767e-21 1.15426064354286 0.753 0.298 1.0854855666736e-16
"Ephx3" 5.90614727448438e-21 4.29560817571812 0.103 0.007 1.31181437113572e-16
"Gsn" 6.70606003915188e-21 1.41911033696198 0.948 0.734 1.48948299529602e-16
"AW112010" 7.8822924847081e-21 1.68679418659031 0.66 0.263 1.75073598377852e-16
"Vstm4" 1.35593924770802e-20 1.80654088033003 0.392 0.093 3.01167666308427e-16
"H2-D1" 1.83052832048148e-20 1.34176021130703 0.948 0.738 4.06578645262141e-16
"P2ry14" 1.89936837899495e-20 2.24334965669223 0.247 0.041 4.21868710658568e-16
"Scn7a" 2.30445359099672e-20 1.49282699793431 0.629 0.213 5.11842187096281e-16
"Lifr" 6.83883585462063e-20 1.50733843677201 0.588 0.205 1.51897383166979e-15
"Lrrc17" 1.94875562243932e-19 1.51960492315747 0.433 0.115 4.32838111299998e-15
"Cyp7b1" 2.91963492777357e-19 1.62978677400043 0.536 0.18 6.48480113807787e-15
"Gucy1b1" 3.51834688708502e-19 1.64155976767502 0.33 0.074 7.81460027090453e-15
"Rarres2" 5.92775541474758e-19 1.1410016801953 0.866 0.493 1.31661375516958e-14
"Gstt1" 7.67090830897605e-19 1.69629570339245 0.412 0.112 1.70378544450667e-14
"Plxdc2" 1.13830709154063e-18 1.25998925626246 0.794 0.385 2.5282938810209e-14
"Klf14" 1.32636337196526e-18 3.49783717989379 0.082 0.005 2.94598568547203e-14
"Steap3" 1.33008386377813e-18 1.76743406745401 0.567 0.209 2.95424926983761e-14
"C4b" 1.65122160925662e-18 1.56928745612189 0.67 0.301 3.66752831631988e-14
"C1ra" 2.15225429572215e-18 1.63432506756879 0.763 0.423 4.78037201622847e-14
"Ccl11" 3.0521748571942e-18 1.44317493522551 0.567 0.194 6.77918557531404e-14
"Dapk1" 3.396191037717e-18 1.39923146894605 0.629 0.243 7.54327991387323e-14
"Ccl5" 3.92720306373808e-18 1.62674052203306 0.289 0.061 8.72271072486865e-14
"Ogfrl1" 5.59099948342851e-18 1.693705253379 0.402 0.109 1.24181689526431e-13
"Ifi205" 1.27225297821957e-17 1.6379323918766 0.629 0.264 2.82580108992349e-13
"Serpina3n" 1.2952611715951e-17 1.5962378614996 0.67 0.3 2.87690458822988e-13
"Ramp2" 2.11324891974156e-17 1.60145600101452 0.443 0.135 4.69373717563798e-13
"Gbp4" 2.36708131855976e-17 1.87095084868761 0.33 0.08 5.25752431665309e-13
"Dpt" 3.21106315299506e-17 1.14094997450753 0.722 0.317 7.13209236911733e-13
"Deptor" 3.47895021375447e-17 2.05280943835376 0.33 0.082 7.72709631977005e-13
"Ecm2" 4.04882515437076e-17 1.31088711299534 0.392 0.105 8.99284555037289e-13
"H2-Q6" 4.60291597656669e-17 1.44784743927667 0.546 0.192 1.02235366755523e-12
"Runx1t1" 4.97795535514467e-17 1.576821224579 0.505 0.175 1.10565366393118e-12
"Lbp" 5.08801476985504e-17 1.06788759512008 0.598 0.219 1.1300989605325e-12
"0610043K17Rik" 5.32274976035377e-17 5.26107136612915 0.052 0.002 1.18223594927218e-12
"Serping1" 7.40969152075692e-17 1.30614794204762 0.897 0.808 1.64576658367532e-12
"Sp100" 7.48143199845142e-17 1.25516045322261 0.629 0.252 1.66170086117605e-12
"Tnxb" 7.74221735197754e-17 1.18071717973514 0.639 0.256 1.71962389604773e-12
"Il17ra" 8.21333090306658e-17 1.50182360889861 0.515 0.185 1.82426292688012e-12
"Gucy1a1" 9.26834181127566e-17 1.78037375830605 0.381 0.108 2.05859139970244e-12
"Ogn" 1.09126308597349e-16 1.4480291893375 0.67 0.304 2.42380444025572e-12
"Fxyd6" 1.09850831531864e-16 1.86449109027781 0.567 0.224 2.43989681915423e-12
"Steap4" 1.15137540589598e-16 1.38181140325996 0.68 0.302 2.55731991403557e-12
"Ace" 1.57201122624512e-16 1.52475382604634 0.474 0.155 3.49159413461302e-12
"Ar" 1.6347373914503e-16 1.06598612557708 0.691 0.297 3.63091522015026e-12
"Svep1" 1.73644758273737e-16 1.36878137512479 0.711 0.344 3.85682372601797e-12
"Fyb2" 1.80947216469617e-16 3.50517788150206 0.113 0.011 4.01901862500667e-12
"Gpx3" 2.8184632279037e-16 1.11420825682749 0.918 0.71 6.2600886754969e-12
"Cd302" 2.85895525897012e-16 1.23996788290869 0.68 0.307 6.35002552569853e-12
"Vegfd" 3.7369898547619e-16 1.66019222014802 0.526 0.195 8.30022816641165e-12
"Ncald" 3.78389894234665e-16 1.55562235614116 0.361 0.097 8.40441794084614e-12
"Pde1a" 4.09124875927671e-16 1.55588137233318 0.464 0.156 9.08707261922949e-12
"2010109A12Rik" 4.32912906719988e-16 2.54060851037924 0.216 0.041 9.61542857115766e-12
"Ebf3" 6.65348077102544e-16 1.29585840704504 0.392 0.111 1.47780461405246e-11
"Sparcl1" 7.45421137622465e-16 1.03598903096104 0.732 0.33 1.65565488877326e-11
"Ebf1" 1.84015685202324e-15 1.10904046994023 0.804 0.409 4.08717238402882e-11
"Psmb8" 1.85392385152733e-15 1.24775522784109 0.711 0.342 4.11775026662736e-11
"C3" 2.42730635347304e-15 1.90138731755993 0.804 0.713 5.39129014169897e-11
"Irgm1" 2.55394116568989e-15 1.34903617636282 0.495 0.174 5.67255872311381e-11
"Fmo1" 2.74132855600977e-15 1.4401483426135 0.289 0.068 6.0887648557533e-11
"Cd34" 2.75392812591258e-15 1.03347815725122 0.691 0.311 6.11674976046442e-11
"Lmo2" 3.00097678592635e-15 1.36030029832541 0.34 0.091 6.665469539221e-11
"Osr2" 3.44388708347058e-15 2.15854628538317 0.371 0.113 7.64921760109651e-11
"Rspo3" 3.84045986705871e-15 2.17122972225923 0.34 0.096 8.5300454107241e-11
"Grasp" 3.99089486961866e-15 1.90442673261418 0.33 0.09 8.86417659491e-11
"Pnp2" 4.92781485023184e-15 1.76501989708521 0.309 0.079 1.09451695638499e-10
"Gm10115" 5.24200210112291e-15 1.51177320911562 0.361 0.103 1.16430108668041e-10
"Reps2" 5.5983032648185e-15 1.67691283066777 0.216 0.042 1.24343913814884e-10
"Cilp" 5.98951165622917e-15 1.63462277467656 0.454 0.158 1.33033043396506e-10
"Gm12185" 6.71452860662743e-15 3.16073379710702 0.082 0.007 1.49136394881802e-10
"Anpep" 6.74710674417447e-15 1.19793924723453 0.423 0.129 1.49859987894859e-10
"Ephb2" 7.6184324685214e-15 1.54801329033459 0.526 0.204 1.69213003558329e-10
"Batf3" 8.08242888327304e-15 2.12353987978176 0.165 0.026 1.79518827926377e-10
"Adap2" 8.11135434741704e-15 2.72192522569512 0.134 0.018 1.8016129141048e-10
"Csf2rb2" 8.73858762541198e-15 1.80751847337532 0.237 0.05 1.94092769748026e-10
"Cmklr1" 8.97364531994294e-15 2.03606826688357 0.299 0.076 1.99313636201253e-10
"Cxcl9" 9.91415845510554e-15 1.9949397090609 0.433 0.15 2.20203373446349e-10
"Pla2r1" 1.00014063826607e-14 1.54237844075085 0.454 0.154 2.22141237165277e-10
"Igsf21" 1.021093551706e-14 7.08557897434477 0.021 0 2.2679508876942e-10
"Mettl7a1" 1.27037323105533e-14 1.60987315996164 0.268 0.063 2.82162598349699e-10
"Selenop" 1.2766355670704e-14 1.04991426086562 0.784 0.43 2.83553525802006e-10
"Psmb9" 1.95909376835162e-14 1.27108754706121 0.495 0.186 4.35134316888578e-10
"Ccl8" 1.99191039474361e-14 1.66072529213676 0.33 0.091 4.42423217776503e-10
"Npy1r" 2.77119741346232e-14 2.3479749151381 0.155 0.024 6.15510657504115e-10
"Pth1r" 3.44735918044571e-14 1.27073394178787 0.474 0.168 7.65692947568797e-10
