Image,Object ID,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Num Detections,Num ADM,Num Acinar,Num Ductal_Amy_overexpr,Num Immune,Num Langerhans,Num Non_malignant_duct,Num Stroma,Num Stroma_periductal,Area µm^2,Perimeter µm,Num Stroma_Amy_leakage
PKR11_K19amy_large p-pd lobule.nd2 - PKR11_K19amy_large p-pd lobule.nd2 (series 1),10ebfb01-122d-404f-9c36-2f5b724ed5da,l_atrophy,l_atrophy,Image,Polygon,465.77,2581.7,4102,71,12,160,162,780,981,1431,505,722526.8,3296.1,
PKR11_K19amy_large p-pd lobule.nd2 - PKR11_K19amy_large p-pd lobule.nd2 (series 1),dd3f24a3-7e73-4c29-b369-f670b06623fb,l_atrophy,l_atrophy,Image,Polygon,4145.4,1789.8,6366,435,408,265,1013,495,1090,2230,430,1069077.4,4590,
PKR11_K19amy_large p-pd lobule.nd2 - PKR11_K19amy_large p-pd lobule.nd2 (series 1),31ce80ac-4bb2-41f2-9993-bae4f9c3dd68,e_atrophy,e_atrophy,Image,Polygon,3002,1960.9,2449,236,253,174,231,375,382,526,272,358389.6,2571.7,
PKR11_K19amy_large p-pd lobule.nd2 - PKR11_K19amy_large p-pd lobule.nd2 (series 1),0e491b24-bcf0-44b0-a49d-aee205e3f490,l_atrophy,l_atrophy,Image,Polygon,1682.2,2378.5,6374,117,60,199,1356,499,1099,2564,480,1117205.3,4547.1,
PKR11_K19amy_large p-pd lobule.nd2 - PKR11_K19amy_large p-pd lobule.nd2 (series 1),8efa07bd-8a74-4188-acc2-22210d156bb0,e_atrophy,e_atrophy,Image,Polygon,3240.7,2544.1,2465,229,307,24,235,444,232,565,429,400345.1,2824.8,
PKR11_K19amy_large p-pd lobule.nd2 - PKR11_K19amy_large p-pd lobule.nd2 (series 1),906797f0-5686-456a-918a-4c233cecd5bd,l_atrophy_tu,l_atrophy_tu,Image,Polygon,1328.5,1189.4,3966,94,60,302,615,346,482,1730,337,699488.2,3251.7,
PKR11_K19amy_large p-pd lobule.nd2 - PKR11_K19amy_large p-pd lobule.nd2 (series 1),1a242ca2-31a0-4026-a445-5779fa3b29e7,l_atrophy,l_atrophy,Image,Polygon,730.56,1618.6,1472,12,12,24,180,61,385,754,44,282417.7,2117.6,
PKR11_K19amy_large p-pd lobule.nd2 - PKR11_K19amy_large p-pd lobule.nd2 (series 1),fffc7851-ca68-4e93-aa2b-c932cbc00c1b,l_atrophy_tu,l_atrophy_tu,Image,Polygon,2873.7,284.7,1578,13,11,38,135,29,353,941,58,326075.4,2379.7,
PKR11_K19amy_large p-pd lobule.nd2 - PKR11_K19amy_large p-pd lobule.nd2 (series 1),7c1af83d-3f3b-4c37-9e5f-1564ed714958,e_atrophy_tu,e_atrophy_tu,Image,Geometry,3109.2,1170.7,8899,569,1649,258,1029,1114,994,2436,850,1413414,5437,
PKR11_K19amy_large p-pd lobule.nd2 - PKR11_K19amy_large p-pd lobule.nd2 (series 1),8d290d0a-cb9f-4f47-a105-00af19f92eed,Tumor,Tumor,Image,Geometry,2197.1,1208.2,0,0,0,0,0,0,0,0,0,295824.8,10563.1,
PKR11_K19amy_d lobule A (uncropped).nd2 - PKR11_K19amy_d lobule A (uncropped).nd2 (series 1),19c86454-cbc3-4231-bfa7-c8ca5ce07dd7,l_atrophy_tu,l_atrophy_tu,Image,Polygon,602.4,823.47,3865,7,7,483,3,116,266,2647,90,785045.4,3564.2,246
PKR11_K19amy_d lobule A (uncropped).nd2 - PKR11_K19amy_d lobule A (uncropped).nd2 (series 1),c7c81346-f727-4cae-a0e7-7af7ca2f24db,Tumor,Tumor,Image,Geometry,459.44,830.11,0,0,0,0,0,0,0,0,0,91715.4,3716.3,0
PKR11_K19amy_d lobule B (uncropped).nd2 - PKR11_K19amy_d lobule B (uncropped).nd2 (series 1),e79c35b1-b501-43c7-b666-17a01ea73518,l_atrophy,l_atrophy,Image,Polygon,748.95,900.66,2230,8,45,18,3,105,291,1465,42,460200,2857.8,253
PKR11_K19amy_d lobule B (uncropped).nd2 - PKR11_K19amy_d lobule B (uncropped).nd2 (series 1),078412e0-1b9b-44db-a817-8c0ce187e080,Tumor,Tumor,Image,Geometry,808.43,860.89,0,0,0,0,0,0,0,0,0,173329.3,7916.3,0
PKR11_K19amy_d lobule C.nd2 - PKR11_K19amy_d lobule C.nd2 (series 1),c7172ef3-e82f-4c6c-b9d2-fe90f9e55372,l_atrophy,l_atrophy,Image,Polygon,883.13,1327.5,3603,20,43,25,1161,367,130,1813,44,599778.9,2966.7,
PKR11_K19amy_d lobule C.nd2 - PKR11_K19amy_d lobule C.nd2 (series 1),77c2a7da-3fea-4df0-9df2-e3dda12645cb,Tumor,Tumor,Image,Geometry,772.89,865.77,0,0,0,0,0,0,0,0,0,105382.1,3056.9,
PKR11_K19amy_pd lobule A.nd2 - PKR11_K19amy_pd lobule A.nd2 (series 1),e6feeb2f-2570-4347-bd9c-327f0e354ccf,l_atrophy,l_atrophy,Image,Polygon,484.17,563.79,3272,257,105,248,424,265,847,663,463,489998.1,3848.5,
PKR11_K19amy_pd lobule A.nd2 - PKR11_K19amy_pd lobule A.nd2 (series 1),d275fc99-fa32-41c8-b56a-5c3210a72fcf,Non_malignant_duct,Non_malignant_duct,Image,Polygon,548.61,292.83,7,0,0,0,0,0,4,0,3,686.32,137.7,
