Image,Class,Num Detections,Num Tumor: Negative,Num Tumor: Positive,Tumor: Positive %
PKR-46-CK17_CEAm.ndpi,tumor septa,0,0,0,
PKR-46-CK17_CEAm.ndpi,tumor lobule,0,0,0,
PKR-46-CK17_CEAm.ndpi,tumor lobule,0,0,0,
PKR-46-CK17_CEAm.ndpi,tumor septa,0,0,0,
PKR-46-CK17_CEAm.ndpi,tumor septa,0,0,0,
PKR-46-CK17_CEAm.ndpi,tumor lobule,0,0,0,
PKR-46-CK17_CEAm.ndpi,tumor septa,0,0,0,
PKR-46-CK17_CEAm.ndpi,tumor lobule,0,0,0,
PKR-46-CK17_CEAm.ndpi,tumor septa,0,0,0,
PKR-46-CK17_CEAm.ndpi,tumor lobule,0,0,0,
PKR-46-CK17_CEAm.ndpi,tumor septa,0,0,0,
PKR-46-CK17_CEAm.ndpi,tumor lobule,0,0,0,
PKR-46-CK17_CEAm.ndpi,tumor lobule,0,0,0,
PKR-46-CK17_CEAm.ndpi,tumor septa,0,0,0,
PKR-46-CK17_CEAm.ndpi,tumor septa,0,0,0,
PKR-46-CK17_CEAm.ndpi,tumor lobule,0,0,0,
PKR-46-CK17_CEAm.ndpi,tumor lobule,0,0,0,
PKR-46-CK17_CEAm.ndpi,tumor septa,0,0,0,
PKR-46-CK17_CEAm.ndpi,Lob 2,373,84,289,77.48
PKR-46-CK17_CEAm.ndpi,Lob 3,343,26,317,92.42
PKR-46-CK17_CEAm.ndpi,Lob 4,309,13,296,95.79
PKR-46-CK17_CEAm.ndpi,Lob 5,323,14,309,95.67
PKR-46-CK17_CEAm.ndpi,Lob 6,345,65,280,81.16
PKR-46-CK17_CEAm.ndpi,Lob 1,319,32,287,89.97
PKR-46-CK17_CEAm.ndpi,Septa 1,330,14,316,95.76
PKR-46-CK17_CEAm.ndpi,Septa 2,326,3,323,99.08
PKR-46-CK17_CEAm.ndpi,Septa 3,305,4,301,98.69
PKR-46-CK17_CEAm.ndpi,Septa 4,356,3,353,99.16
PKR-46-CK17_CEAm.ndpi,Septa 5,337,1,336,99.7
PKR-46-CK17_CEAm.ndpi,Septa 6,349,8,341,97.71
PKR-46-CK17_CEAm.ndpi,Septa 7,400,16,384,96
PKR-46-CK17_CEAm.ndpi,Septa 8,328,2,326,99.39
PKR-46-CK17_CEAm.ndpi,Septa 9,342,27,315,92.11
PKR-46-CK17_CEAm.ndpi,Lob 7,312,28,284,91.03
PKR-46-Muc5_Muc6.ndpi,Septa 1,359,338,21,5.85
PKR-46-Muc5_Muc6.ndpi,Septa 2,351,347,4,1.14
PKR-46-Muc5_Muc6.ndpi,Septa 3,412,356,56,13.59
PKR-46-Muc5_Muc6.ndpi,Septa 4,324,321,3,0.9259
PKR-46-Muc5_Muc6.ndpi,Septa 5,341,318,23,6.745
PKR-46-Muc5_Muc6.ndpi,Septa 6,429,413,16,3.73
PKR-46-Muc5_Muc6.ndpi,Septa 7,390,386,4,1.026
PKR-46-Muc5_Muc6.ndpi,Septa 8,329,328,1,0.304
PKR-46-Muc5_Muc6.ndpi,Lob 1,333,313,20,6.006
PKR-46-Muc5_Muc6.ndpi,Lob 2,303,221,82,27.06
PKR-46-Muc5_Muc6.ndpi,Lob 3,331,283,48,14.5
PKR-46-Muc5_Muc6.ndpi,Lob 4,428,331,97,22.66
PKR-46-Muc5_Muc6.ndpi,Lob 5,320,210,110,34.38
PKR-46-Muc5_Muc6.ndpi,Lob 6,416,128,288,69.23
PKR-46-Muc5_Muc6.ndpi,Septa 9,358,309,49,13.69
PKR-46-Muc5_Muc6.ndpi,Lob 7,396,306,90,22.73
PKR-46-WT1_CA125.ndpi,Septa 1,506,506,0,0
PKR-46-WT1_CA125.ndpi,Septa 2,344,331,13,3.779
PKR-46-WT1_CA125.ndpi,Septa 3,315,272,43,13.65
PKR-46-WT1_CA125.ndpi,Septa 4,343,338,5,1.458
PKR-46-WT1_CA125.ndpi,Septa 5,458,452,6,1.31
PKR-46-WT1_CA125.ndpi,Septa 6,412,407,5,1.214
PKR-46-WT1_CA125.ndpi,Septa 7,417,417,0,0
PKR-46-WT1_CA125.ndpi,Septa 8,378,366,12,3.175
PKR-46-WT1_CA125.ndpi,Lob 1,328,327,1,0.3049
PKR-46-WT1_CA125.ndpi,Lob 2,315,310,5,1.587
PKR-46-WT1_CA125.ndpi,Lob 3,327,326,1,0.3058
PKR-46-WT1_CA125.ndpi,Lob 4,310,301,9,2.903
PKR-46-WT1_CA125.ndpi,Lob 5,313,309,4,1.278
PKR-46-WT1_CA125.ndpi,Lob 6,333,333,0,0
PKR-46-WT1_CA125.ndpi,Septa 9,343,343,0,0
PKR-46-WT1_CA125.ndpi,Lob 7,405,403,2,0.4938
PKR-47-CK5_CD10.ndpi,Lob 1,301,301,0,0
PKR-47-CK5_CD10.ndpi,Septa 4,301,235,66,21.93
PKR-47-CK5_CD10.ndpi,Septa 1,376,362,14,3.723
PKR-47-CK5_CD10.ndpi,Septa 2,354,336,18,5.085
PKR-47-CK5_CD10.ndpi,Septa 3,332,255,77,23.19
PKR-47-CK5_CD10.ndpi,septa,0,0,0,
PKR-47-CK5_CD10.ndpi,Not lob,0,0,0,
PKR-47-CK5_CD10.ndpi,duxt¨,0,0,0,
PKR-47-CK5_CD10.ndpi,duxt¨,0,0,0,
PKR-47-CK5_CD10.ndpi,Not lob,0,0,0,
PKR-47-CK5_CD10.ndpi,Not lob,0,0,0,
PKR-47-CK5_CD10.ndpi,Lob 2,315,305,10,3.175
PKR-47-CK17_CEAm.ndpi,tumor lobule,0,0,0,
PKR-47-CK17_CEAm.ndpi,tumor septa,0,0,0,
PKR-47-CK17_CEAm.ndpi,tumor septa,0,0,0,
PKR-47-CK17_CEAm.ndpi,tumor septa,0,0,0,
PKR-47-CK17_CEAm.ndpi,tumor septa,0,0,0,
PKR-47-CK17_CEAm.ndpi,tumor lobule,0,0,0,
PKR-47-CK17_CEAm.ndpi,tumor lobule,0,0,0,
PKR-47-CK17_CEAm.ndpi,tumor lobule,0,0,0,
PKR-47-CK17_CEAm.ndpi,tumor lobule,0,0,0,
PKR-47-CK17_CEAm.ndpi,tumor lobule,0,0,0,
PKR-47-CK17_CEAm.ndpi,tumor lobule,0,0,0,
PKR-47-CK17_CEAm.ndpi,tumor lobule,0,0,0,
PKR-47-CK17_CEAm.ndpi,tumor septa,0,0,0,
PKR-47-CK17_CEAm.ndpi,tumor septa,0,0,0,
PKR-47-CK17_CEAm.ndpi,tumor lobule,0,0,0,
PKR-47-CK17_CEAm.ndpi,tumor septa,0,0,0,
PKR-47-CK17_CEAm.ndpi,tumor septa,0,0,0,
PKR-47-CK17_CEAm.ndpi,tumor septa,0,0,0,
PKR-47-CK17_CEAm.ndpi,Septa 3,541,6,535,98.89
PKR-47-CK17_CEAm.ndpi,Lob 1,304,146,158,51.97
PKR-47-CK17_CEAm.ndpi,Septa 1,324,128,196,60.49
PKR-47-CK17_CEAm.ndpi,Septa 2,325,67,258,79.38
PKR-47-CK17_CEAm.ndpi,Septa 4,381,24,357,93.7
PKR-47-CK17_CEAm.ndpi,Lob 2,319,133,186,58.31
PKR-47-Muc5_Muc6.ndpi,Lob 1,311,81,230,73.95
PKR-47-Muc5_Muc6.ndpi,Septa 2,319,28,291,91.22
PKR-47-Muc5_Muc6.ndpi,Septa 1,321,176,145,45.17
PKR-47-Muc5_Muc6.ndpi,Septa 3,319,269,50,15.67
PKR-47-Muc5_Muc6.ndpi,Septa 4,384,259,125,32.55
PKR-47-Muc5_Muc6.ndpi,Lob 2,309,77,232,75.08
PKR-47-WT1_CA125.ndpi,Septa 4,583,577,6,1.029
PKR-47-WT1_CA125.ndpi,Septa 3,369,359,10,2.71
PKR-47-WT1_CA125.ndpi,Septa 2,436,434,2,0.4587
PKR-47-WT1_CA125.ndpi,Septa 1,428,425,3,0.7009
PKR-47-WT1_CA125.ndpi,Lob 1,325,325,0,0
PKR-47-WT1_CA125.ndpi,Lob 2,375,370,5,1.333
PKR-57-CK5_CD10.ndpi,Lob 1,343,337,6,1.749
PKR-57-CK5_CD10.ndpi,Lob 2,326,326,0,0
PKR-57-CK5_CD10.ndpi,Lob 3,386,382,4,1.036
PKR-57-CK5_CD10.ndpi,Lob 4,318,318,0,0
PKR-57-CK5_CD10.ndpi,Lob 5,360,350,10,2.778
PKR-57-CK5_CD10.ndpi,Lob 6,307,306,1,0.3257
PKR-57-CK5_CD10.ndpi,Septa 1,328,328,0,0
PKR-57-CK5_CD10.ndpi,Septa 2,337,337,0,0
PKR-57-CK5_CD10.ndpi,Septa 3,307,307,0,0
PKR-57-CK5_CD10.ndpi,Septa 4,370,370,0,0
PKR-57-CK5_CD10.ndpi,Septa 5,312,312,0,0
PKR-57-CK5_CD10.ndpi,Septa 6,359,359,0,0
PKR-57-CK5_CD10.ndpi,Septa 7,368,368,0,0
PKR-57-CK5_CD10.ndpi,Septa 8,453,453,0,0
PKR-57-CK5_CD10.ndpi,Septa 9,372,372,0,0
PKR-57-CK17_CEAm.ndpi,tumor lobule,0,0,0,
PKR-57-CK17_CEAm.ndpi,tumor septa,0,0,0,
PKR-57-CK17_CEAm.ndpi,tumor lobule,0,0,0,
PKR-57-CK17_CEAm.ndpi,tumor septa,0,0,0,
PKR-57-CK17_CEAm.ndpi,tumor septa,0,0,0,
PKR-57-CK17_CEAm.ndpi,tumor septa,0,0,0,
PKR-57-CK17_CEAm.ndpi,tumor septa,0,0,0,
PKR-57-CK17_CEAm.ndpi,tumor lobule,0,0,0,
PKR-57-CK17_CEAm.ndpi,tumor lobule,0,0,0,
PKR-57-CK17_CEAm.ndpi,tumor lobule,0,0,0,
PKR-57-CK17_CEAm.ndpi,tumor septa,0,0,0,
PKR-57-CK17_CEAm.ndpi,tumor lobule,0,0,0,
PKR-57-CK17_CEAm.ndpi,tumor septa,0,0,0,
PKR-57-CK17_CEAm.ndpi,tumor septa,0,0,0,
PKR-57-CK17_CEAm.ndpi,tumor lobule,0,0,0,
PKR-57-CK17_CEAm.ndpi,tumor lobule,0,0,0,
PKR-57-CK17_CEAm.ndpi,tumor lobule,0,0,0,
PKR-57-CK17_CEAm.ndpi,tumor septa,0,0,0,
PKR-57-CK17_CEAm.ndpi,Lob 1,323,103,220,68.11
PKR-57-CK17_CEAm.ndpi,Lob 2,355,336,19,5.352
PKR-57-CK17_CEAm.ndpi,Septa 2,318,103,215,67.61
PKR-57-CK17_CEAm.ndpi,Septa 3,314,192,122,38.85
PKR-57-CK17_CEAm.ndpi,Lob 3,339,335,4,1.18
PKR-57-CK17_CEAm.ndpi,Septa 1,309,108,201,65.05
PKR-57-CK17_CEAm.ndpi,Septa 4,324,84,240,74.07
PKR-57-CK17_CEAm.ndpi,Septa 5,331,25,306,92.45
PKR-57-CK17_CEAm.ndpi,Septa 6,337,66,271,80.42
PKR-57-CK17_CEAm.ndpi,Lob 4,328,188,140,42.68
PKR-57-CK17_CEAm.ndpi,Septa 7,324,65,259,79.94
PKR-57-CK17_CEAm.ndpi,Septa 8,354,27,327,92.37
PKR-57-CK17_CEAm.ndpi,Septa 9,307,40,267,86.97
PKR-57-CK17_CEAm.ndpi,Lob 5,350,271,79,22.57
PKR-57-CK17_CEAm.ndpi,Lob 6,325,238,87,26.77
PKR-57-Muc5_Muc6.ndpi,Lob 1,332,191,141,42.47
PKR-57-Muc5_Muc6.ndpi,Lob 2,308,185,123,39.94
PKR-57-Muc5_Muc6.ndpi,Lob 3,372,264,108,29.03
PKR-57-Muc5_Muc6.ndpi,Lob 4,306,110,196,64.05
PKR-57-Muc5_Muc6.ndpi,Lob 5,348,292,56,16.09
PKR-57-Muc5_Muc6.ndpi,Lob 6,321,266,55,17.13
PKR-57-Muc5_Muc6.ndpi,Septa 1,309,228,81,26.21
PKR-57-Muc5_Muc6.ndpi,Septa 2,362,282,80,22.1
PKR-57-Muc5_Muc6.ndpi,Septa 3,319,294,25,7.837
PKR-57-Muc5_Muc6.ndpi,Septa 4,314,289,25,7.962
PKR-57-Muc5_Muc6.ndpi,Septa 5,304,294,10,3.289
PKR-57-Muc5_Muc6.ndpi,Septa 6,337,219,118,35.01
PKR-57-Muc5_Muc6.ndpi,Septa 7,340,259,81,23.82
