Image,Class,Num Detections,Num Tumor: Negative,Num Tumor: Positive,Tumor: Positive %
PKR-1-ck17_ceam.ndpi ,Septa 1,457,57,400,87.53
PKR-1-ck17_ceam.ndpi ,Septa 2,403,11,392,97.27
PKR-1-ck17_ceam.ndpi ,Lob 3,345,18,327,94.78
PKR-1-ck17_ceam.ndpi ,Septa 5,361,6,355,98.34
PKR-1-ck17_ceam.ndpi ,Lob 4,347,35,312,89.91
PKR-1-ck17_ceam.ndpi ,Lob 1,347,38,309,89.05
PKR-1-ck17_ceam.ndpi ,Lob 5,315,11,304,96.51
PKR-1-ck17_ceam.ndpi ,Lob 2,404,10,394,97.52
PKR-1-ck17_ceam.ndpi ,Septa 8,324,41,283,87.35
PKR-1-ck17_ceam.ndpi ,Septa 7,394,8,386,97.97
PKR-1-ck17_ceam.ndpi ,Septa 3,371,22,349,94.07
PKR-1-ck17_ceam.ndpi ,Septa 4,340,11,329,96.76
PKR-1-ck17_ceam.ndpi ,Septa 9,383,5,378,98.69
PKR-1-ck17_ceam.ndpi ,Septa 6,315,7,308,97.78
PKR-1-muc5ac_muc6.ndpi,Lob 5,413,299,114,27.6
PKR-1-muc5ac_muc6.ndpi,Lob 4,398,335,63,15.83
PKR-1-muc5ac_muc6.ndpi,Septa 1,527,482,45,8.539
PKR-1-muc5ac_muc6.ndpi,Septa 2,468,454,14,2.991
PKR-1-muc5ac_muc6.ndpi,Septa 3,362,308,54,14.92
PKR-1-muc5ac_muc6.ndpi,Septa 4,425,330,95,22.35
PKR-1-muc5ac_muc6.ndpi,Septa 5,444,400,44,9.91
PKR-1-muc5ac_muc6.ndpi,Septa 6,441,360,81,18.37
PKR-1-muc5ac_muc6.ndpi,Septa 8,402,286,116,28.86
PKR-1-muc5ac_muc6.ndpi,Lob 3,384,328,56,14.58
PKR-1-muc5ac_muc6.ndpi,Lob 1,333,289,44,13.21
PKR-1-muc5ac_muc6.ndpi,Septa 9,341,308,33,9.677
PKR-1-muc5ac_muc6.ndpi,Septa 7,351,190,161,45.87
PKR-1-muc5ac_muc6.ndpi,Lob 2,345,259,86,24.93
PKR-1-wt1_ca125.ndpi,Lob 1,333,223,110,33.03
PKR-1-wt1_ca125.ndpi,Lob 4,366,183,183,50
PKR-1-wt1_ca125.ndpi,Lob 5,343,256,87,25.36
PKR-1-wt1_ca125.ndpi,Septa 1,386,175,211,54.66
PKR-1-wt1_ca125.ndpi,Septa 2,494,102,392,79.35
PKR-1-wt1_ca125.ndpi,Septa 3,401,245,156,38.9
