Image,Class,Num Detections,Num Tumor: Negative,Num Tumor: Positive,Tumor: Positive %
PKR-2-ck17_ceam_2.ndpi,Lob 1,489,484,5,1.022
PKR-2-ck17_ceam_2.ndpi,Lob 2,319,227,92,28.84
PKR-2-ck17_ceam_2.ndpi,Lob 3,417,323,94,22.54
PKR-2-ck17_ceam_2.ndpi,Lob 4,300,244,56,18.67
PKR-2-ck17_ceam_2.ndpi,Lob 6,405,311,94,23.21
PKR-2-ck17_ceam_2.ndpi,Lob 5,339,312,27,7.965
PKR-2-ck17_ceam_2.ndpi,Lob 9,373,273,100,26.81
PKR-2-ck17_ceam_2.ndpi,Septa 1,340,55,285,83.82
PKR-2-ck17_ceam_2.ndpi,Septa 2,301,53,248,82.39
PKR-2-ck17_ceam_2.ndpi,Septa 3,322,13,309,95.96
PKR-2-ck17_ceam_2.ndpi,Septa 4,394,68,326,82.74
PKR-2-ck17_ceam_2.ndpi,Septa 5,317,85,232,73.19
PKR-2-ck17_ceam_2.ndpi,Septa 6,373,87,286,76.68
PKR-2-ck17_ceam_2.ndpi,Septa 7,339,35,304,89.68
PKR-2-ck17_ceam_2.ndpi,Septa 9,351,24,327,93.16
PKR-2-ck17_ceam_2.ndpi,Septa 8,386,117,269,69.69
PKR-2-ck17_ceam_2.ndpi,Lob 8,366,283,83,22.68
PKR-2-ck17_ceam_2.ndpi,Lob 7,319,240,79,24.76
PKR-2-muc5ac_muc6_2.ndpi,Lob 1,762,51,711,93.31
PKR-2-muc5ac_muc6_2.ndpi,Lob 2,501,72,429,85.63
PKR-2-muc5ac_muc6_2.ndpi,Lob 3,427,39,388,90.87
PKR-2-muc5ac_muc6_2.ndpi,Lob 6,524,94,430,82.06
PKR-2-muc5ac_muc6_2.ndpi,Lob 5,460,39,421,91.52
PKR-2-muc5ac_muc6_2.ndpi,Lob 4,430,106,324,75.35
PKR-2-muc5ac_muc6_2.ndpi,Lob 7,427,211,216,50.59
PKR-2-muc5ac_muc6_2.ndpi,Lob 8,323,203,120,37.15
PKR-2-muc5ac_muc6_2.ndpi,Lob 9,439,291,148,33.71
PKR-2-muc5ac_muc6_2.ndpi,Septa 1,595,531,64,10.76
PKR-2-muc5ac_muc6_2.ndpi,Septa 2,473,357,116,24.52
PKR-2-muc5ac_muc6_2.ndpi,Septa 3,543,481,62,11.42
PKR-2-muc5ac_muc6_2.ndpi,Septa 4,550,437,113,20.55
PKR-2-muc5ac_muc6_2.ndpi,Septa 5,387,327,60,15.5
PKR-2-muc5ac_muc6_2.ndpi,Septa 6,358,302,56,15.64
PKR-2-muc5ac_muc6_2.ndpi,Septa 7,376,365,11,2.926
PKR-2-muc5ac_muc6_2.ndpi,Septa 8,409,397,12,2.934
PKR-2-muc5ac_muc6_2.ndpi,Septa 9,346,333,13,3.757
PKR-2-wt1_ca125_2.ndpi,Lob 1,338,316,22,6.509
PKR-2-wt1_ca125_2.ndpi,Lob 2,353,265,88,24.93
