Image,Class,Num Detections,Num Tumor: Negative,Num Tumor: Positive,Tumor: Positive %
PKR-13-ck17_ceam.ndpi,,0,0,0,
PKR-13-ck17_ceam.ndpi,Lob 6,568,559,9,1.585
PKR-13-ck17_ceam.ndpi,Lob 7,399,309,90,22.56
PKR-13-ck17_ceam.ndpi,Lob 8,467,427,40,8.565
PKR-13-ck17_ceam.ndpi,Septa 5,349,104,245,70.2
PKR-13-ck17_ceam.ndpi,Lob 1,337,330,7,2.077
PKR-13-ck17_ceam.ndpi,Lob 5,317,155,162,51.1
PKR-13-ck17_ceam.ndpi,Lob 9,508,462,46,9.055
PKR-13-ck17_ceam.ndpi,Septa 6,369,112,257,69.65
PKR-13-ck17_ceam.ndpi,Septa 3,330,82,248,75.15
PKR-13-ck17_ceam.ndpi,Septa 9,304,28,276,90.79
PKR-13-ck17_ceam.ndpi,Septa 8,409,87,322,78.73
PKR-13-ck17_ceam.ndpi,Septa 7,331,113,218,65.86
PKR-13-ck17_ceam.ndpi,Septa 1,335,109,226,67.46
PKR-13-ck17_ceam.ndpi,Septa 2,304,37,267,87.83
PKR-13-ck17_ceam.ndpi,Septa 4,367,132,235,64.03
PKR-13-ck17_ceam.ndpi,Lob 3,302,189,113,37.42
PKR-13-ck17_ceam.ndpi,Lob 4,306,103,203,66.34
PKR-13-ck17_ceam.ndpi,Lob 2,303,124,179,59.08
PKR-13-ck17_ceam.ndpi,,0,0,0,
PKR-13-ck17_ceam.ndpi,,0,0,0,
PKR-13-ck17_ceam.ndpi,,0,0,0,
PKR-13-muc5ac_muc6.ndpi,,0,0,0,
PKR-13-muc5ac_muc6.ndpi,Septa 5,350,348,2,0.5714
PKR-13-muc5ac_muc6.ndpi,Septa 8,344,335,9,2.616
PKR-13-muc5ac_muc6.ndpi,Lob 3,438,264,174,39.73
PKR-13-muc5ac_muc6.ndpi,Septa 1,395,181,214,54.18
PKR-13-muc5ac_muc6.ndpi,Septa 6,452,313,139,30.75
PKR-13-muc5ac_muc6.ndpi,Septa 9,376,372,4,1.064
PKR-13-muc5ac_muc6.ndpi,Septa 3,464,272,192,41.38
PKR-13-muc5ac_muc6.ndpi,Septa 7,343,341,2,0.5831
PKR-13-muc5ac_muc6.ndpi,Septa 4,460,314,146,31.74
PKR-13-muc5ac_muc6.ndpi,Lob 7,326,86,240,73.62
PKR-13-muc5ac_muc6.ndpi,Lob 8,303,46,257,84.82
PKR-13-muc5ac_muc6.ndpi,Lob 1,484,259,225,46.49
PKR-13-muc5ac_muc6.ndpi,Lob 9,317,38,279,88.01
PKR-13-muc5ac_muc6.ndpi,Lob 6,308,135,173,56.17
PKR-13-muc5ac_muc6.ndpi,Lob 5,347,127,220,63.4
PKR-13-muc5ac_muc6.ndpi,Lob 4,310,124,186,60
PKR-13-muc5ac_muc6.ndpi,Lob 2,438,97,341,77.85
PKR-13-muc5ac_muc6.ndpi,Septa 2,394,239,155,39.34
PKR-4-ck17_ceam.ndpi,,0,0,0,
PKR-4-ck17_ceam.ndpi,Septa 6,332,327,5,1.506
PKR-4-ck17_ceam.ndpi,Lob 3,864,864,0,0
PKR-4-ck17_ceam.ndpi,Lob 4,376,373,3,0.7979
PKR-4-ck17_ceam.ndpi,Lob 6,617,617,0,0
PKR-4-ck17_ceam.ndpi,Lob 7,585,585,0,0
PKR-4-ck17_ceam.ndpi,Lob 5,361,337,24,6.648
PKR-4-ck17_ceam.ndpi,Lob 2,316,272,44,13.92
PKR-4-ck17_ceam.ndpi,Lob 1,307,306,1,0.3257
PKR-4-ck17_ceam.ndpi,Septa 1,338,336,2,0.5917
PKR-4-ck17_ceam.ndpi,Septa 9,389,360,29,7.455
PKR-4-ck17_ceam.ndpi,Septa 3,402,349,53,13.18
PKR-4-ck17_ceam.ndpi,Septa 5,443,192,251,56.66
PKR-4-ck17_ceam.ndpi,Septa 4,320,141,179,55.94
PKR-4-ck17_ceam.ndpi,Septa 7,368,330,38,10.33
PKR-4-ck17_ceam.ndpi,Septa 2,331,254,77,23.26
PKR-4-ck17_ceam.ndpi,Lob 9,384,384,0,0
PKR-4-ck17_ceam.ndpi,intravssc endothel lymph spread,326,323,3,0.9202
PKR-4-ck17_ceam.ndpi,Lob 8,315,315,0,0
PKR-4-ck17_ceam.ndpi,Septa 8,310,239,71,22.9
PKR-4-muc5ac_muc6.ndpi,Septa 9,360,256,104,28.89
PKR-4-muc5ac_muc6.ndpi,Septa 4,418,401,17,4.067
PKR-4-muc5ac_muc6.ndpi,Lob 2,339,225,114,33.63
PKR-4-muc5ac_muc6.ndpi,Septa 3,384,321,63,16.41
PKR-4-muc5ac_muc6.ndpi,Septa 5,405,266,139,34.32
PKR-4-muc5ac_muc6.ndpi,Septa 2,415,313,102,24.58
PKR-4-muc5ac_muc6.ndpi,Septa 8,323,281,42,13
PKR-4-muc5ac_muc6.ndpi,Lob 4,304,201,103,33.88
PKR-4-muc5ac_muc6.ndpi,Lob 5,324,133,191,58.95
PKR-4-muc5ac_muc6.ndpi,Septa 1,312,106,206,66.03
PKR-4-muc5ac_muc6.ndpi,Septa 6,417,329,88,21.1
PKR-4-muc5ac_muc6.ndpi,Septa 7,340,188,152,44.71
PKR-4-muc5ac_muc6.ndpi,Lob 6,328,6,322,98.17
PKR-4-muc5ac_muc6.ndpi,Lob 7,400,3,397,99.25
PKR-4-muc5ac_muc6.ndpi,Lob 1,319,233,86,26.96
PKR-4-muc5ac_muc6.ndpi,Lob 8,437,356,81,18.54
PKR-4-muc5ac_muc6.ndpi,Lob 9,448,125,323,72.1
PKR-4-muc5ac_muc6.ndpi,Lob 3,481,98,383,79.63
PKR-32-muc5ac_muc6.ndpi,Lob 1,386,317,69,17.88
PKR-32-muc5ac_muc6.ndpi,Septa 1,366,366,0,0
PKR-32-muc5ac_muc6.ndpi,Lob 2,417,338,79,18.94
PKR-32-muc5ac_muc6.ndpi,Lob 3,343,278,65,18.95
PKR-32-muc5ac_muc6.ndpi,Lob 4,324,258,66,20.37
PKR-32-muc5ac_muc6.ndpi,Septa 3,340,301,39,11.47
PKR-32-muc5ac_muc6.ndpi,Tumor,0,0,0,
