Image,Class,Num Detections,Num Tumor: Negative,Num Tumor: Positive,Tumor: Positive %
PKR-12-ck17_ceam.ndpi,tumor septa,0,0,0,
PKR-12-ck17_ceam.ndpi,tumor septa,0,0,0,
PKR-12-ck17_ceam.ndpi,tumor lobule,0,0,0,
PKR-12-ck17_ceam.ndpi,tumor lobule,0,0,0,
PKR-12-ck17_ceam.ndpi,tumor septa,0,0,0,
PKR-12-ck17_ceam.ndpi,tumor lobule,0,0,0,
PKR-12-ck17_ceam.ndpi,tumor lobule,0,0,0,
PKR-12-ck17_ceam.ndpi,tumor septa,0,0,0,
PKR-12-ck17_ceam.ndpi,tumor septa,0,0,0,
PKR-12-ck17_ceam.ndpi,tumor lobule,0,0,0,
PKR-12-ck17_ceam.ndpi,tumor septa,0,0,0,
PKR-12-ck17_ceam.ndpi,tumor septa,0,0,0,
PKR-12-ck17_ceam.ndpi,tumor septa,0,0,0,
PKR-12-ck17_ceam.ndpi,tumor lobule,0,0,0,
PKR-12-ck17_ceam.ndpi,tumor lobule,0,0,0,
PKR-12-ck17_ceam.ndpi,tumor lobule,0,0,0,
PKR-12-ck17_ceam.ndpi,Septa 1,348,327,21,6.034
PKR-12-ck17_ceam.ndpi,tumor septa,0,0,0,
PKR-12-ck17_ceam.ndpi,Septa 2,319,301,18,5.643
PKR-12-ck17_ceam.ndpi,Septa 5,414,405,9,2.174
PKR-12-ck17_ceam.ndpi,Septa 6,421,392,29,6.888
PKR-12-ck17_ceam.ndpi,Septa 7,558,544,14,2.509
PKR-12-ck17_ceam.ndpi,Septa 9,301,294,7,2.326
PKR-12-ck17_ceam.ndpi,Lob 1,358,344,14,3.911
PKR-12-ck17_ceam.ndpi,Lob 2,405,377,28,6.914
PKR-12-ck17_ceam.ndpi,Lob 9,308,268,40,12.99
PKR-12-ck17_ceam.ndpi,Lob 3,310,297,13,4.194
PKR-12-ck17_ceam.ndpi,Lob 4,300,274,26,8.667
PKR-12-ck17_ceam.ndpi,tumor lobule,0,0,0,
PKR-12-ck17_ceam.ndpi,Lob 5,403,320,83,20.6
PKR-12-ck17_ceam.ndpi,Lob 6,390,382,8,2.051
PKR-12-ck17_ceam.ndpi,Lob 7,409,315,94,22.98
PKR-12-ck17_ceam.ndpi,Lob 8,379,377,2,0.5277
PKR-12-ck17_ceam.ndpi,Septa 8,340,233,107,31.47
PKR-12-ck17_ceam.ndpi,Septa 3,408,354,54,13.24
PKR-12-ck17_ceam.ndpi,Septa 4,563,538,25,4.44
PKR-12-muc5ac_muc6.ndpi,Septa 1,345,345,0,0
PKR-12-muc5ac_muc6.ndpi,Septa 2,591,555,36,6.091
PKR-12-muc5ac_muc6.ndpi,Septa 3,330,118,212,64.24
PKR-12-muc5ac_muc6.ndpi,Septa 5,302,86,216,71.52
PKR-12-muc5ac_muc6.ndpi,Septa 6,424,404,20,4.717
PKR-12-muc5ac_muc6.ndpi,Septa 7,418,346,72,17.22
PKR-12-muc5ac_muc6.ndpi,Septa 9,502,502,0,0
PKR-12-muc5ac_muc6.ndpi,Lob 1,366,358,8,2.186
PKR-12-muc5ac_muc6.ndpi,Lob 2,509,423,86,16.9
PKR-12-muc5ac_muc6.ndpi,Lob 3,316,102,214,67.72
PKR-12-muc5ac_muc6.ndpi,Lob 4,439,432,7,1.595
PKR-12-muc5ac_muc6.ndpi,Lob 5,334,185,149,44.61
PKR-12-muc5ac_muc6.ndpi,Lob 6,323,183,140,43.34
PKR-12-muc5ac_muc6.ndpi,Lob 7,365,338,27,7.397
PKR-12-muc5ac_muc6.ndpi,Lob 8,348,210,138,39.66
PKR-12-muc5ac_muc6.ndpi,Lob 9,457,227,230,50.33
PKR-12-muc5ac_muc6.ndpi,Septa 4,362,358,4,1.105
PKR-12-muc5ac_muc6.ndpi,Septa 8,326,259,67,20.55
PKR-14-ck17-ceam.ndpi,tumor septa,0,0,0,
PKR-14-ck17-ceam.ndpi,tumor septa,0,0,0,
PKR-14-ck17-ceam.ndpi,tumor septa,0,0,0,
PKR-14-ck17-ceam.ndpi,tumor septa,0,0,0,
PKR-14-ck17-ceam.ndpi,tumor lobule,0,0,0,
PKR-14-ck17-ceam.ndpi,tumor lobule,0,0,0,
PKR-14-ck17-ceam.ndpi,tumor septa,0,0,0,
PKR-14-ck17-ceam.ndpi,tumor septa,0,0,0,
PKR-14-ck17-ceam.ndpi,tumor septa,0,0,0,
PKR-14-ck17-ceam.ndpi,tumor lobule,0,0,0,
PKR-14-ck17-ceam.ndpi,tumor lobule,0,0,0,
PKR-14-ck17-ceam.ndpi,tumor septa,0,0,0,
PKR-14-ck17-ceam.ndpi,tumor lobule,0,0,0,
PKR-14-ck17-ceam.ndpi,tumor lobule,0,0,0,
PKR-14-ck17-ceam.ndpi,tumor lobule,0,0,0,
PKR-14-ck17-ceam.ndpi,tumor lobule,0,0,0,
PKR-14-ck17-ceam.ndpi,tumor septa,0,0,0,
PKR-14-ck17-ceam.ndpi,tumor lobule,0,0,0,
PKR-14-ck17-ceam.ndpi,Septa 1,507,311,196,38.66
PKR-14-ck17-ceam.ndpi,Septa 2,455,248,207,45.49
PKR-14-ck17-ceam.ndpi,Septa 3,512,291,221,43.16
PKR-14-ck17-ceam.ndpi,Septa 4,434,156,278,64.06
PKR-14-ck17-ceam.ndpi,Septa 6,396,279,117,29.55
PKR-14-ck17-ceam.ndpi,Septa 7,437,296,141,32.27
PKR-14-ck17-ceam.ndpi,Septa 5,381,307,74,19.42
PKR-14-ck17-ceam.ndpi,Lob 1,407,331,76,18.67
PKR-14-ck17-ceam.ndpi,Lob 2,316,200,116,36.71
PKR-14-ck17-ceam.ndpi,Lob 3,350,295,55,15.71
PKR-14-ck17-ceam.ndpi,Lob 5,461,295,166,36.01
PKR-14-ck17-ceam.ndpi,Septa 8,402,233,169,42.04
PKR-14-ck17-ceam.ndpi,Lob 7,313,272,41,13.1
PKR-14-ck17-ceam.ndpi,Lob 8,412,305,107,25.97
PKR-14-ck17-ceam.ndpi,Lob 9,460,344,116,25.22
PKR-14-ck17-ceam.ndpi,Septa 9,599,493,106,17.7
PKR-14-ck17-ceam.ndpi,Lob 4,525,396,129,24.57
PKR-14-ck17-ceam.ndpi,Lob 6,325,296,29,8.923
PKR-14-muc5ac_muc6.ndpi,Septa 1,325,156,169,52
PKR-14-muc5ac_muc6.ndpi,Septa 2,332,120,212,63.86
PKR-14-muc5ac_muc6.ndpi,Septa 3,342,152,190,55.56
PKR-14-muc5ac_muc6.ndpi,Septa 4,403,153,250,62.03
PKR-14-muc5ac_muc6.ndpi,Septa 5,415,145,270,65.06
PKR-14-muc5ac_muc6.ndpi,Septa 6,351,111,240,68.38
PKR-14-muc5ac_muc6.ndpi,Septa 7,350,38,312,89.14
PKR-14-muc5ac_muc6.ndpi,Septa 8,405,55,350,86.42
PKR-14-muc5ac_muc6.ndpi,Septa 9,348,62,286,82.18
PKR-14-muc5ac_muc6.ndpi,Lob 1,323,84,239,73.99
PKR-14-muc5ac_muc6.ndpi,Lob 2,371,152,219,59.03
PKR-14-muc5ac_muc6.ndpi,Lob 3,301,121,180,59.8
PKR-14-muc5ac_muc6.ndpi,Lob 4,438,140,298,68.04
PKR-14-muc5ac_muc6.ndpi,Lob 5,316,91,225,71.2
PKR-14-muc5ac_muc6.ndpi,Lob 6,313,91,222,70.93
PKR-14-muc5ac_muc6.ndpi,Lob 7,308,112,196,63.64
PKR-14-muc5ac_muc6.ndpi,Lob 8,330,128,202,61.21
PKR-14-muc5ac_muc6.ndpi,Lob 9,343,97,246,71.72
