Image,Class,Num Detections,Num Tumor: Negative,Num Tumor: Positive,Tumor: Positive %
PKR-17-ck17_ceam.ndpi,tumor septa,0,0,0,
PKR-17-ck17_ceam.ndpi,tumor lobule,0,0,0,
PKR-17-ck17_ceam.ndpi,tumor lobule,0,0,0,
PKR-17-ck17_ceam.ndpi,tumor lobule,0,0,0,
PKR-17-ck17_ceam.ndpi,tumor lobule,0,0,0,
PKR-17-ck17_ceam.ndpi,tumor lobule,0,0,0,
PKR-17-ck17_ceam.ndpi,tumor septa,0,0,0,
PKR-17-ck17_ceam.ndpi,tumor septa,0,0,0,
PKR-17-ck17_ceam.ndpi,tumor septa,0,0,0,
PKR-17-ck17_ceam.ndpi,tumor septa,0,0,0,
PKR-17-ck17_ceam.ndpi,tumor lobule,0,0,0,
PKR-17-ck17_ceam.ndpi,tumor septa,0,0,0,
PKR-17-ck17_ceam.ndpi,tumor lobule,0,0,0,
PKR-17-ck17_ceam.ndpi,tumor septa,0,0,0,
PKR-17-ck17_ceam.ndpi,tumor lobule,0,0,0,
PKR-17-ck17_ceam.ndpi,tumor septa,0,0,0,
PKR-17-ck17_ceam.ndpi,tumor lobule,1,1,0,0
PKR-17-ck17_ceam.ndpi,tumor septa,0,0,0,
PKR-17-ck17_ceam.ndpi,Septa 1,437,312,125,28.6
PKR-17-ck17_ceam.ndpi,Septa 2,425,381,44,10.35
PKR-17-ck17_ceam.ndpi,Septa 3,373,195,178,47.72
PKR-17-ck17_ceam.ndpi,Septa 4,322,263,59,18.32
PKR-17-ck17_ceam.ndpi,Septa 5,306,208,98,32.03
PKR-17-ck17_ceam.ndpi,Septa 6,442,400,42,9.502
PKR-17-ck17_ceam.ndpi,Septa 7,315,260,55,17.46
PKR-17-ck17_ceam.ndpi,Septa 8,471,398,73,15.5
PKR-17-ck17_ceam.ndpi,Septa 9,317,201,116,36.59
PKR-17-ck17_ceam.ndpi,Lob 1,312,163,149,47.76
PKR-17-ck17_ceam.ndpi,Lob 3,416,357,59,14.18
PKR-17-ck17_ceam.ndpi,Lob 4,391,283,108,27.62
PKR-17-ck17_ceam.ndpi,Lob 6,397,310,87,21.91
PKR-17-ck17_ceam.ndpi,Lob 7,336,235,101,30.06
PKR-17-ck17_ceam.ndpi,Lob 8,322,200,122,37.89
PKR-17-ck17_ceam.ndpi,Lob 9,343,230,113,32.94
PKR-17-ck17_ceam.ndpi,Lob 2,316,267,49,15.51
PKR-17-ck17_ceam.ndpi,Lob 5,578,462,116,20.07
PKR-17-muc5ac.ndpi,Septa 1,442,238,204,46.15
PKR-17-muc5ac.ndpi,Septa 2,430,236,194,45.12
PKR-17-muc5ac.ndpi,Septa 9,382,248,134,35.08
PKR-17-muc5ac.ndpi,Septa 6,525,266,259,49.33
PKR-17-muc5ac.ndpi,Septa 3,349,199,150,42.98
PKR-17-muc5ac.ndpi,,0,0,0,
PKR-17-muc5ac.ndpi,Septa 4,334,227,107,32.04
