Image,Class,Num Detections,Num Tumor: Negative,Num Tumor: Positive,Tumor: Positive %
PKR-30-ck17_ceam.ndpi,Lobule tumorinv,0,0,0,
PKR-30-ck17_ceam.ndpi,Septum tumorinv,0,0,0,
PKR-30-ck17_ceam.ndpi,Septum tumorinv,0,0,0,
PKR-30-ck17_ceam.ndpi,Lobule tumorinv,0,0,0,
PKR-30-ck17_ceam.ndpi,Lobule tumorinv,0,0,0,
PKR-30-ck17_ceam.ndpi,Septum tumorinv,0,0,0,
PKR-30-ck17_ceam.ndpi,Lobule tumorinv,0,0,0,
PKR-30-ck17_ceam.ndpi,Lobule tumorinv,0,0,0,
PKR-30-ck17_ceam.ndpi,Lobule tumorinv,0,0,0,
PKR-30-ck17_ceam.ndpi,Septum tumorinv,0,0,0,
PKR-30-ck17_ceam.ndpi,Lobule tumorinv,0,0,0,
PKR-30-ck17_ceam.ndpi,Septum tumorinv,0,0,0,
PKR-30-ck17_ceam.ndpi,Lobule tumorinv,0,0,0,
PKR-30-ck17_ceam.ndpi,Septum tumorinv,0,0,0,
PKR-30-ck17_ceam.ndpi,Septum tumorinv,0,0,0,
PKR-30-ck17_ceam.ndpi,Septum tumorinv,0,0,0,
PKR-30-ck17_ceam.ndpi,Septum tumorinv,0,0,0,
PKR-30-ck17_ceam.ndpi,Lob 2,354,224,130,36.72
PKR-30-ck17_ceam.ndpi,Lob 4,367,227,140,38.15
PKR-30-ck17_ceam.ndpi,Lob 6,347,216,131,37.75
PKR-30-ck17_ceam.ndpi,Lob 8,338,237,101,29.88
PKR-30-ck17_ceam.ndpi,Lobule tumorinv,0,0,0,
PKR-30-ck17_ceam.ndpi,Lob 9,307,206,101,32.9
PKR-30-ck17_ceam.ndpi,Lob 7,354,193,161,45.48
PKR-30-ck17_ceam.ndpi,Septa 9,388,76,312,80.41
PKR-30-ck17_ceam.ndpi,Septa 8,341,79,262,76.83
PKR-30-ck17_ceam.ndpi,Septa 6,343,57,286,83.38
PKR-30-ck17_ceam.ndpi,Septa 5,347,66,281,80.98
PKR-30-ck17_ceam.ndpi,Septa 4,339,53,286,84.37
