Image,Class,Num Detections,Num Tumor: Negative,Num Tumor: Positive,Tumor: Positive %
PKR-49-Muc5_Muc6.ndpi,Septa 1,331,241,90,27.19
PKR-49-Muc5_Muc6.ndpi,Septa 2,311,309,2,0.6431
PKR-49-Muc5_Muc6.ndpi,Septa 8,399,359,40,10.03
PKR-49-Muc5_Muc6.ndpi,Septa 9,306,254,52,16.99
PKR-49-Muc5_Muc6.ndpi,Lob 1,362,132,230,63.54
PKR-49-Muc5_Muc6.ndpi,Septa 4,314,289,25,7.962
PKR-49-Muc5_Muc6.ndpi,Lob 2,607,215,392,64.58
PKR-49-Muc5_Muc6.ndpi,Lob 4,307,78,229,74.59
PKR-49-Muc5_Muc6.ndpi,Lob 5,300,246,54,18
PKR-49-Muc5_Muc6.ndpi,Lob 6,326,143,183,56.13
PKR-49-Muc5_Muc6.ndpi,Lob 7,321,182,139,43.3
PKR-49-Muc5_Muc6.ndpi,Lob 8,306,136,170,55.56
PKR-49-Muc5_Muc6.ndpi,Lob 9,417,170,247,59.23
PKR-49-Muc5_Muc6.ndpi,Lob 3,319,92,227,71.16
PKR-49-Muc5_Muc6.ndpi,Septa 3,335,334,1,0.2985
PKR-49-Muc5_Muc6.ndpi,Septa 5,328,304,24,7.317
PKR-49-Muc5_Muc6.ndpi,Septa 6,316,252,64,20.25
PKR-49-Muc5_Muc6.ndpi,Septa 7,350,289,61,17.43
PKR-49-WT1_CA125.ndpi,Septa 9,314,276,38,12.1
PKR-50-CK17_CEAm.ndpi,tumor septa,0,0,0,
PKR-50-CK17_CEAm.ndpi,tumor lobule,0,0,0,
PKR-50-CK17_CEAm.ndpi,tumor septa,0,0,0,
PKR-50-CK17_CEAm.ndpi,tumor lobule,0,0,0,
PKR-50-CK17_CEAm.ndpi,tumor lobule,0,0,0,
PKR-50-CK17_CEAm.ndpi,tumor lobule,0,0,0,
PKR-50-CK17_CEAm.ndpi,tumor septa,0,0,0,
PKR-50-CK17_CEAm.ndpi,tumor septa,0,0,0,
PKR-50-CK17_CEAm.ndpi,tumor septa,0,0,0,
PKR-50-CK17_CEAm.ndpi,tumor lobule,0,0,0,
PKR-50-CK17_CEAm.ndpi,tumor septa,0,0,0,
PKR-50-CK17_CEAm.ndpi,tumor lobule,0,0,0,
PKR-50-CK17_CEAm.ndpi,tumor septa,0,0,0,
PKR-50-CK17_CEAm.ndpi,tumor septa,0,0,0,
PKR-50-CK17_CEAm.ndpi,tumor lobule,0,0,0,
PKR-50-CK17_CEAm.ndpi,tumor septa,0,0,0,
PKR-50-CK17_CEAm.ndpi,tumor lobule,0,0,0,
PKR-50-CK17_CEAm.ndpi,tumor lobule,0,0,0,
PKR-50-CK17_CEAm.ndpi,Septa 1,429,199,230,53.61
PKR-50-CK17_CEAm.ndpi,Septa 2,357,260,97,27.17
PKR-50-CK17_CEAm.ndpi,Septa 3,408,318,90,22.06
PKR-50-CK17_CEAm.ndpi,Septa 4,343,103,240,69.97
PKR-50-CK17_CEAm.ndpi,Septa 5,421,335,86,20.43
PKR-50-CK17_CEAm.ndpi,Septa 6,358,76,282,78.77
PKR-50-CK17_CEAm.ndpi,Septa 7,625,404,221,35.36
PKR-50-CK17_CEAm.ndpi,Septa 8,449,87,362,80.62
PKR-50-CK17_CEAm.ndpi,Septa 9,448,74,374,83.48
PKR-50-CK17_CEAm.ndpi,Lob 1,329,296,33,10.03
PKR-50-CK17_CEAm.ndpi,Lob 2,455,395,60,13.19
PKR-50-CK17_CEAm.ndpi,Lob 4,327,212,115,35.17
PKR-50-CK17_CEAm.ndpi,Lob 5,334,278,56,16.77
PKR-50-CK17_CEAm.ndpi,Lob 6,309,283,26,8.414
PKR-50-CK17_CEAm.ndpi,Lob 3,338,276,62,18.34
PKR-50-CK17_CEAm.ndpi,Lob 7,323,275,48,14.86
PKR-50-Muc5_Muc6.ndpi,Septa 1,348,347,1,0.2874
PKR-50-Muc5_Muc6.ndpi,Septa 2,302,302,0,0
PKR-50-Muc5_Muc6.ndpi,Septa 3,349,349,0,0
PKR-50-Muc5_Muc6.ndpi,Septa 4,351,351,0,0
PKR-50-Muc5_Muc6.ndpi,Septa 5,335,318,17,5.075
PKR-50-Muc5_Muc6.ndpi,Septa 6,367,364,3,0.8174
PKR-50-Muc5_Muc6.ndpi,Septa 7,489,488,1,0.2045
PKR-50-Muc5_Muc6.ndpi,Septa 8,312,284,28,8.974
PKR-50-Muc5_Muc6.ndpi,Septa 9,408,397,11,2.696
PKR-50-Muc5_Muc6.ndpi,Lob 1,311,306,5,1.608
PKR-50-Muc5_Muc6.ndpi,Lob 2,418,417,1,0.2392
PKR-50-Muc5_Muc6.ndpi,Lob 3,304,303,1,0.3289
PKR-50-Muc5_Muc6.ndpi,Lob 4,330,328,2,0.6061
PKR-50-Muc5_Muc6.ndpi,Lob 5,393,391,2,0.5089
PKR-50-Muc5_Muc6.ndpi,Lob 6,337,337,0,0
PKR-50-Muc5_Muc6.ndpi,Lob 7,308,305,3,0.974
PKR-50-WT1_CA125.ndpi,Septa 1,382,350,32,8.377
PKR-50-WT1_CA125.ndpi,Septa 2,410,347,63,15.37
PKR-50-WT1_CA125.ndpi,Septa 3,359,240,119,33.15
PKR-50-WT1_CA125.ndpi,Septa 4,378,332,46,12.17
PKR-50-WT1_CA125.ndpi,Septa 5,304,302,2,0.6579
PKR-50-WT1_CA125.ndpi,Septa 6,386,386,0,0
PKR-50-WT1_CA125.ndpi,Septa 7,465,417,48,10.32
