Image,Class,Num Detections,Num Tumor: Negative,Num Tumor: Positive,Tumor: Positive %
PKR-60-CK17_CEAm.ndpi,tumor lobule,0,0,0,
PKR-60-CK17_CEAm.ndpi,tumor septa,0,0,0,
PKR-60-CK17_CEAm.ndpi,tumor septa,0,0,0,
PKR-60-CK17_CEAm.ndpi,tumor lobule,0,0,0,
PKR-60-CK17_CEAm.ndpi,tumor septa,0,0,0,
PKR-60-CK17_CEAm.ndpi,tumor septa,0,0,0,
PKR-60-CK17_CEAm.ndpi,tumor septa,0,0,0,
PKR-60-CK17_CEAm.ndpi,tumor lobule,0,0,0,
PKR-60-CK17_CEAm.ndpi,tumor septa,0,0,0,
PKR-60-CK17_CEAm.ndpi,tumor lobule,0,0,0,
PKR-60-CK17_CEAm.ndpi,tumor lobule,0,0,0,
PKR-60-CK17_CEAm.ndpi,tumor lobule,0,0,0,
PKR-60-CK17_CEAm.ndpi,tumor septa,0,0,0,
PKR-60-CK17_CEAm.ndpi,tumor lobule,0,0,0,
PKR-60-CK17_CEAm.ndpi,tumor lobule,0,0,0,
PKR-60-CK17_CEAm.ndpi,tumor septa,0,0,0,
PKR-60-CK17_CEAm.ndpi,tumor lobule,0,0,0,
PKR-60-CK17_CEAm.ndpi,,230,65,165,71.74
PKR-60-CK17_CEAm.ndpi,,367,34,333,90.74
PKR-60-CK17_CEAm.ndpi,,41,11,30,73.17
PKR-60-CK17_CEAm.ndpi,,260,37,223,85.77
PKR-60-CK17_CEAm.ndpi,Lob 1,373,117,256,68.63
PKR-60-CK17_CEAm.ndpi,Lob 2,301,48,253,84.05
PKR-60-CK17_CEAm.ndpi,Septa 1,304,23,281,92.43
PKR-60-CK17_CEAm.ndpi,Septa 2,311,5,306,98.39
PKR-60-CK17_CEAm.ndpi,,331,58,273,82.48
PKR-60-CK17_CEAm.ndpi,Stroma,1520,93,1427,93.88
PKR-60-CK17_CEAm.ndpi,Lob 3,331,58,273,82.48
PKR-60-CK17_CEAm.ndpi,,0,0,0,
PKR-60-CK17_CEAm.ndpi,Lob 4,367,34,333,90.74
