Image,Class,Num Detections,Num Tumor: Negative,Num Tumor: Positive,Tumor: Positive %
PKR-63-CK5_CD10.ndpi,Septa 1,376,257,119,31.65
PKR-63-CK5_CD10.ndpi,Septa 2,621,126,495,79.71
PKR-63-CK5_CD10.ndpi,Septa 3,602,189,413,68.6
PKR-63-CK5_CD10.ndpi,Septa 4,405,122,283,69.88
PKR-63-CK5_CD10.ndpi,Septa 6,435,252,183,42.07
PKR-63-CK5_CD10.ndpi,Septa 7,501,200,301,60.08
PKR-63-CK5_CD10.ndpi,Septa 8,308,219,89,28.9
PKR-63-CK5_CD10.ndpi,Septa 9,390,110,280,71.79
PKR-63-CK5_CD10.ndpi,Septa 5,399,215,184,46.12
PKR-63-CK5_CD10.ndpi,Lob 1,425,398,27,6.353
PKR-63-CK5_CD10.ndpi,Lob 2,663,537,126,19
PKR-63-CK5_CD10.ndpi,Lob 3,531,368,163,30.7
PKR-63-CK5_CD10.ndpi,Lob 4,305,168,137,44.92
PKR-63-CK5_CD10.ndpi,Lob 5,406,142,264,65.02
PKR-63-CK17_CEAm.ndpi,tumor septa,0,0,0,
PKR-63-CK17_CEAm.ndpi,tumor septa,0,0,0,
PKR-63-CK17_CEAm.ndpi,tumor lobule,0,0,0,
PKR-63-CK17_CEAm.ndpi,tumor septa,0,0,0,
PKR-63-CK17_CEAm.ndpi,tumor lobule,0,0,0,
PKR-63-CK17_CEAm.ndpi,tumor lobule,0,0,0,
PKR-63-CK17_CEAm.ndpi,tumor lobule,0,0,0,
PKR-63-CK17_CEAm.ndpi,tumor septa,0,0,0,
PKR-63-CK17_CEAm.ndpi,tumor lobule,0,0,0,
PKR-63-CK17_CEAm.ndpi,tumor septa,0,0,0,
PKR-63-CK17_CEAm.ndpi,tumor septa,0,0,0,
PKR-63-CK17_CEAm.ndpi,tumor lobule,0,0,0,
PKR-63-CK17_CEAm.ndpi,tumor septa,0,0,0,
PKR-63-CK17_CEAm.ndpi,tumor lobule,0,0,0,
PKR-63-CK17_CEAm.ndpi,tumor lobule,0,0,0,
PKR-63-CK17_CEAm.ndpi,tumor septa,0,0,0,
PKR-63-CK17_CEAm.ndpi,tumor lobule,3,0,3,100
PKR-63-CK17_CEAm.ndpi,Septa 1,321,5,316,98.44
PKR-63-CK17_CEAm.ndpi,Septa 2,320,0,320,100
PKR-63-CK17_CEAm.ndpi,Septa 3,398,0,398,100
PKR-63-CK17_CEAm.ndpi,Septa 4,323,2,321,99.38
PKR-63-CK17_CEAm.ndpi,Septa 5,379,3,376,99.21
PKR-63-CK17_CEAm.ndpi,tumor septa,0,0,0,
PKR-63-CK17_CEAm.ndpi,Septa 6,344,0,344,100
PKR-63-CK17_CEAm.ndpi,Septa 7,325,0,325,100
PKR-63-CK17_CEAm.ndpi,Septa 8,335,0,335,100
PKR-63-CK17_CEAm.ndpi,Septa 9,313,0,313,100
PKR-63-CK17_CEAm.ndpi,Lob 1,313,0,313,100
PKR-63-CK17_CEAm.ndpi,Lob 2,313,6,307,98.08
PKR-63-CK17_CEAm.ndpi,Lob 3,304,1,303,99.67
PKR-63-CK17_CEAm.ndpi,Lob 4,337,2,335,99.41
PKR-63-CK17_CEAm.ndpi,Lob 5,306,4,302,98.69
PKR-63-HMGA2_CK19.ndpi,Septa 1,485,73,412,84.95
PKR-63-HMGA2_CK19.ndpi,Septa 2,496,60,436,87.9
PKR-63-HMGA2_CK19.ndpi,Septa 3,393,50,343,87.28
PKR-63-HMGA2_CK19.ndpi,Septa 4,376,84,292,77.66
PKR-63-HMGA2_CK19.ndpi,Septa 5,310,42,268,86.45
PKR-63-HMGA2_CK19.ndpi,Septa 6,349,31,318,91.12
PKR-63-HMGA2_CK19.ndpi,Septa 7,312,38,274,87.82
PKR-63-HMGA2_CK19.ndpi,Septa 8,337,45,292,86.65
PKR-63-HMGA2_CK19.ndpi,Septa 9,329,42,287,87.23
PKR-63-HMGA2_CK19.ndpi,Lob 1,350,60,290,82.86
PKR-63-HMGA2_CK19.ndpi,Lob 2,380,43,337,88.68
PKR-63-HMGA2_CK19.ndpi,Lob 3,378,85,293,77.51
PKR-63-HMGA2_CK19.ndpi,Lob 4,344,73,271,78.78
PKR-63-HMGA2_CK19.ndpi,Lob 5,314,74,240,76.43
PKR-63-Muc5_Muc6.ndpi,Septa 1,320,293,27,8.438
PKR-63-Muc5_Muc6.ndpi,Septa 2,539,468,71,13.17
PKR-63-Muc5_Muc6.ndpi,Septa 3,386,371,15,3.886
PKR-63-Muc5_Muc6.ndpi,Septa 4,370,355,15,4.054
PKR-63-Muc5_Muc6.ndpi,Septa 5,345,314,31,8.986
PKR-63-Muc5_Muc6.ndpi,Septa 6,355,321,34,9.577
PKR-63-Muc5_Muc6.ndpi,Septa 7,417,394,23,5.516
PKR-63-Muc5_Muc6.ndpi,Septa 8,305,301,4,1.311
PKR-63-Muc5_Muc6.ndpi,Septa 9,324,294,30,9.259
PKR-63-Muc5_Muc6.ndpi,Lob 1,319,233,86,26.96
PKR-63-Muc5_Muc6.ndpi,Lob 2,329,276,53,16.11
PKR-63-Muc5_Muc6.ndpi,Lob 3,312,198,114,36.54
PKR-63-Muc5_Muc6.ndpi,Lob 4,304,260,44,14.47
PKR-63-Muc5_Muc6.ndpi,Lob 5,317,216,101,31.86
PKR-66-CK17_CEAm.ndpi,tumor lobule,0,0,0,
PKR-66-CK17_CEAm.ndpi,tumor septa,0,0,0,
PKR-66-CK17_CEAm.ndpi,tumor septa,0,0,0,
PKR-66-CK17_CEAm.ndpi,tumor lobule,0,0,0,
PKR-66-CK17_CEAm.ndpi,tumor lobule,0,0,0,
PKR-66-CK17_CEAm.ndpi,tumor lobule,0,0,0,
PKR-66-CK17_CEAm.ndpi,tumor septa,0,0,0,
