Image	Object ID	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	ngfr_thresh_0.49_pkr2: ngfr_positive area µm^2	Area µm^2	Perimeter µm	ngfr_thresh_0.44_pkr13: ngfr_positive area µm^2	ngfr_thresh_0.4_pkr24: ngfr_positive area µm^2	ngfr_thresh_0.51_pkr51: ngfr_positive area µm^2	ngfr_thresh_0.45_pkr3: ngfr_positive area µm^2	ngfr_thresh_0.53_pkr4: ngfr_positive area µm^2	ngfr_thresh_0.43_pkr22: ngfr_positive area µm^2
PKR-2-cd146_ngfr.ndpi	a86ae112-d282-4e48-baab-e748223920d0	Invasion	Invasion	Image	Geometry	31725.8	11797.9	533902.625	4020817.9	10004.4						
PKR-2-cd146_ngfr.ndpi	1607b38d-6915-4edb-a7e9-584d608ffdd6	Pancreatitis	Pancreatitis	Image	Polygon	40208.5	18298.4	208948.6719	759192.3	3344.1						
PKR-2-cd146_ngfr.ndpi	10c4cfb3-9a84-430e-b34d-270654fbd94d	Invasion	Invasion	Image	Polygon	30687.9	12926.5	376241.0312	2186346.9	7039.4						
PKR-2-cd146_ngfr.ndpi	7dde6223-19da-4e7f-bac0-2b54b9709c5e	Invasion	Invasion	Image	Geometry	33653.5	15278.5	301902.2812	1920175.3	6103.3						
PKR-2-cd146_ngfr.ndpi	a78f1f59-2fe6-477c-88c3-c4fb9f616ef9	Pancreatitis	Pancreatitis	Image	Polygon	27597.2	15408.1	132108.3906	823572.1	3498.3						
PKR-2-cd146_ngfr.ndpi	9ec407e4-7de6-4968-85cf-dde19fc8a5eb	Pancreatitis	Pancreatitis	Image	Polygon	29156.4	14987.8	349304.2812	2431743.9	5962.2						
PKR-2-cd146_ngfr.ndpi	bfc2faa7-2971-401d-916c-7331b656ddf9	Pancreatitis	Pancreatitis	Image	Polygon	28877.8	16706.2	299677.5	1593291.6	6092.8						
PKR-2-cd146_ngfr.ndpi	23f461c0-e0b1-4ae6-a0ab-61de1482f112	Invasion	Invasion	Image	Polygon	30796.2	17525.5	512655.5625	3141449.6	6979.6						
PKR-2-cd146_ngfr.ndpi	4a60b3ee-50c8-4867-8ce2-d1f8b0f0179a	Pancreatitis	Pancreatitis	Image	Geometry	35158.5	11619.3	80081.9531	482072.9	3008.1						
PKR-2-cd146_ngfr.ndpi	86914fa8-394c-462f-8862-1624672f0a69	LateInvasion	LateInvasion	Image	Polygon	38853.2	17496	18759.9766	1331275.2	5419						
PKR-2-cd146_ngfr.ndpi	2527b001-d914-416b-a0cd-942cc96617b4	LateInvasion	LateInvasion	Image	Polygon	30923.5	15236.5	78932.6406	2063463.9	6282.5						
PKR-2-cd146_ngfr.ndpi	e7c728e5-7fd3-4222-8993-38e7a93d6f8f	LateInvasion	LateInvasion	Image	Polygon	32168.5	6837.8	30005.2676	932962.9	4221.6						
PKR-2-cd146_ngfr.ndpi	6a5cdcdf-352f-4d47-b32e-867ae36737cf	LateInvasion	LateInvasion	Image	Polygon	36012.5	6695.2	26508.9395	884310.9	4344.6						
