Image,Class,Area µm^2
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,247027.4
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,50670.1
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,50770.1
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,4015.8
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,4015.8
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,15800.7
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,6518.6
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,9440.6
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,46631.2
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,191958.3
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,7775
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,1382
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,1354.7
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,1354.7
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,46121.8
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,14234.5
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,13748.7
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,13240.4
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,14540.1
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,4214.9
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,6187.1
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,3530.6
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,6107.5
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,3328.7
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,2646.8
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,3569.7
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,2999.3
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,1825.3
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,9386.3
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,6371.5
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,32349.8
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,12055.5
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,2748.1
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,2748.1
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,77409.7
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,107280.1
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,75367
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,11304.1
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,3155.1
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,8812.4
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,8581
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,26254.8
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,15244.2
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,16114.4
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,21316.7
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,6998.7
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,41120.6
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,9738.8
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,15925.7
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,17334.4
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,9414.4
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,371798.6
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,153884.2
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,120733.4
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,41505.8
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,7597.4
PKR-2-p53_d240_cald_maspin.ndpi,Tumor other invasion,58173.4
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,178691.6
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,244493.1
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,8393.6
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,4897.5
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,94390.5
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,10829.3
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,111144
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,1835.7
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,3366.6
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,1555.1
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,7751.9
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,8377.4
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,20852.8
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,40433.6
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,20050.7
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,11365.4
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,81542.6
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,109497.6
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,137319.1
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,117292
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,36166.5
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,69021.6
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,60350
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,24613.5
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,21912.4
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,3198
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,1397.2
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,1397.2
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,1397.2
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,10417.6
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,17238.4
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,10187.3
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,7014.3
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,75059.9
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,2216.7
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,22205.3
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,10942.1
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,14955.4
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,20924.4
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,19601.6
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,33597.1
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,14976.2
PKR-2-p53_d240_cald_maspin.ndpi,Tumor other invasion,6156.8
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,3875.3
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,3875.3
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,3951.8
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,3875.3
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,15530.7
