Image,Object ID,Name,Class,Parent,ROI,Nucleus: P53 mean,Nucleus: P53 sum,Cell: ASMA mean,Cell: NGFR mean,Cell: PDGFRa mean,Cell: CD74 mean,Cell: Vimentin mean,Nucleus/Cell area ratio
PKR-67_Vimcell ,a85096da-58ca-4c27-b0c5-cc475316fa1d,CD74_neg: Vim_neg: PDGFR_pos: NGFR_neg: ASMA_neg,CD74_neg: Vim_neg: PDGFR_pos: NGFR_neg: ASMA_neg,Outer_stroma_roish,Polygon,1,174,49.6043,2.2259,44.3971,86.8302,72.3122,0.2366
PKR-67_Vimcell ,c1f2faec-4781-425c-ae76-f60540313ea8,CD74_neg: Vim_neg: PDGFR_neg: NGFR_neg: ASMA_neg,CD74_neg: Vim_neg: PDGFR_neg: NGFR_neg: ASMA_neg,Outer_stroma_roish,Polygon,0.5,24,34.2363,0.0899,6.4375,71.5686,60.0595,0.0652
PKR-67_Vimcell ,9871f77b-1627-4c6e-9402-8ace6f659739,CD74_neg: Vim_pos: PDGFR_pos: NGFR_neg: ASMA_pos,CD74_neg: Vim_pos: PDGFR_pos: NGFR_neg: ASMA_pos,Outer_stroma_roish,Polygon,7.1935,892,89.4993,8.8745,91.3038,13.7266,162.3857,0.1592
PKR-67_Vimcell ,cbf4edf2-775b-48de-8838-fa6a7fded99c,CD74_neg: Vim_neg: PDGFR_pos: NGFR_neg: ASMA_neg,CD74_neg: Vim_neg: PDGFR_pos: NGFR_neg: ASMA_neg,Outer_stroma_roish,Polygon,0.5094,27,60.0682,2.0492,52.3485,8.3333,71.6439,0.1964
PKR-67_Vimcell ,d0644bcd-d6a0-4c11-a096-24a6f794c21e,CD74_neg: Vim_pos: PDGFR_pos: NGFR_neg: ASMA_pos,CD74_neg: Vim_pos: PDGFR_pos: NGFR_neg: ASMA_pos,Outer_stroma_roish,Polygon,1.136,376,157.5676,6.691,58.302,110.8921,87.5295,0.254
PKR-67_Vimcell ,b8bb7892-70f0-47b4-9fa1-f086f49e4e2d,CD74_neg: Vim_pos: PDGFR_pos: NGFR_neg: ASMA_pos,CD74_neg: Vim_pos: PDGFR_pos: NGFR_neg: ASMA_pos,Outer_stroma_roish,Polygon,58.5066,22291,191.6102,2.9222,30.9603,43.7765,128.1762,0.2898
PKR-67_Vimcell ,f081b51f-95f3-40b9-a4a6-acde4130d8e9,CD74_neg: Vim_neg: PDGFR_pos: NGFR_neg: ASMA_pos,CD74_neg: Vim_neg: PDGFR_pos: NGFR_neg: ASMA_pos,Outer_stroma_roish,Polygon,5.6237,523,135.2877,3.8292,92.5692,2.1338,63.7523,0.137
PKR-67_Vimcell ,f7642193-20b5-4943-8a54-f5b0fd9121d0,CD74_neg: Vim_neg: PDGFR_pos: NGFR_neg: ASMA_neg,CD74_neg: Vim_neg: PDGFR_pos: NGFR_neg: ASMA_neg,Outer_stroma_roish,Polygon,0.0513,4,32.695,0.0621,28.1826,0.2943,19.7926,0.1301
PKR-67_Vimcell ,cebcafec-8a02-406a-8d1d-95b3bbd0bd48,CD74_neg: Vim_pos: PDGFR_neg: NGFR_neg: ASMA_neg,CD74_neg: Vim_pos: PDGFR_neg: NGFR_neg: ASMA_neg,Outer_stroma_roish,Polygon,0.8421,80,39.6599,2.0943,10.9125,67.0168,154.2492,0.1528
PKR-67_Vimcell ,685984f2-6e00-430d-9a59-01e518cd1ac4,CD74_neg: Vim_pos: PDGFR_neg: NGFR_neg: ASMA_neg,CD74_neg: Vim_pos: PDGFR_neg: NGFR_neg: ASMA_neg,Outer_stroma_roish,Polygon,1.6273,262,25.0811,1.8358,10.6302,54.8472,190.5641,0.3025
