Your Input	Gene ID	Gene Symbol	Gene Name	Description	Mus musculus Ortholog
FAT2	HGNC:3596	FAT2	FAT atypical cadherin 2	Predicted to enable calcium ion binding activity. Involved in cell-substrate adhesion and epithelial cell migration. Located in adherens junction. Implicated in spinocerebellar ataxia 45.	MGI:2685369:Fat2
MIR205HG	HGNC:43562	MIR205HG	MIR205 host gene	Predicted to be involved in several processes, including hormone biosynthetic process; prolactin metabolic process; and regulation of DNA-binding transcription factor activity.	MGI:1918050:Mir205hg
S100A9	HGNC:10499	S100A9	S100 calcium binding protein A9	Predicted to enable calcium ion binding activity and calcium-dependent protein binding activity. Involved in several processes, including neutrophil aggregation; neutrophil chemotaxis; and peptidyl-cysteine S-trans-nitrosylation. Located in cytoplasm and extracellular space. Part of S100A9 complex and calprotectin complex. Implicated in myocarditis. Biomarker of hepatocellular carcinoma and urinary bladder cancer.	MGI:1338947:S100a9
S100A2	HGNC:10492	S100A2	S100 calcium binding protein A2	Enables identical protein binding activity. Involved in endothelial cell migration.	MGI:3510999:S100a2
S100A8	HGNC:10498	S100A8	S100 calcium binding protein A8	Predicted to enable calcium ion binding activity and calcium-dependent protein binding activity. Involved in several processes, including activation of cysteine-type endopeptidase activity involved in apoptotic process; neutrophil aggregation; and neutrophil chemotaxis. Located in cytosol; extracellular space; and intermediate filament cytoskeleton. Part of calprotectin complex. Implicated in myocarditis. Biomarker of pancreatic ductal adenocarcinoma; severe acute respiratory syndrome; and urinary bladder cancer.	MGI:88244:S100a8
KRT5	HGNC:6442	KRT5	keratin 5	Enables scaffold protein binding activity. Predicted to be involved in several processes, including intermediate filament cytoskeleton organization; keratinization; and response to mechanical stimulus. Located in cytoplasm and keratin filament. Implicated in Dowling-Degos disease; epidermolysis bullosa simplex; and epidermolysis bullosa simplex with mottled pigmentation.	MGI:96702:Krt5
SLC2A9	HGNC:13446	SLC2A9	solute carrier family 2 member 9	Enables fructose transmembrane transporter activity and urate transmembrane transporter activity. Involved in hexose transmembrane transport; urate metabolic process; and urate transport. Located in plasma membrane.	MGI:2152844:Slc2a9
RHCG	HGNC:18140	RHCG	Rh family C glycoprotein	Enables several functions, including ammonium channel activity; ankyrin binding activity; and carbon dioxide transmembrane transporter activity. Involved in ammonium transmembrane transport; intracellular monoatomic ion homeostasis; and transepithelial ammonium transport. Located in apical plasma membrane and basolateral plasma membrane.	MGI:1888517:Rhcg
TP63	HGNC:15979	TP63	tumor protein p63	Enables several functions, including MDM2/MDM4 family protein binding activity; WW domain binding activity; and p53 binding activity. Involved in several processes, including negative regulation of cellular senescence; positive regulation of Notch signaling pathway; and regulation of DNA-templated transcription. Located in chromatin; cytoplasm; and nucleoplasm. Implicated in several diseases, including ADULT syndrome; EEC syndrome (multiple); ectodermal dysplasia (multiple); orofacial cleft 8; and split hand-foot malformation 4. Biomarker of cervix uteri carcinoma in situ; prostate carcinoma in situ; and urinary bladder cancer.	MGI:1330810:Trp63
ZNF750	HGNC:25843	ZNF750	zinc finger protein 750	Enables DNA-binding transcription factor activity, RNA polymerase II-specific; RNA polymerase II cis-regulatory region sequence-specific DNA binding activity; and promoter-specific chromatin binding activity. Involved in epidermis development; negative regulation of epithelial to mesenchymal transition; and regulation of transcription by RNA polymerase II. Located in nucleus.	MGI:2442210:Zfp750
KRT6A	HGNC:6443	KRT6A	keratin 6A	Predicted to be a structural constituent of skin epidermis. Involved in negative regulation of entry of bacterium into host cell. Located in extracellular exosome; membrane; and nucleus. Implicated in pachyonychia congenita.	MGI:1100845:Krt6a | MGI:1333768:Krt6b | MGI:3646939:Gm5414 | MGI:3646318:Gm5478
KRT14	HGNC:6416	KRT14	keratin 14	Enables keratin filament binding activity. Involved in hair cycle and intermediate filament bundle assembly. Located in cytoplasm; keratin filament; and nucleus. Implicated in Naegeli-Franceschetti-Jadassohn syndrome; dermatopathia pigmentosa reticularis; and epidermolysis bullosa simplex.	MGI:96688:Krt14
PTHLH	HGNC:9607	PTHLH	parathyroid hormone like hormone	Enables peptide hormone receptor binding activity. Acts upstream of or within several processes, including adenylate cyclase-activating G protein-coupled receptor signaling pathway; negative regulation of chondrocyte development; and skeletal system development. Located in Golgi apparatus; cytosol; and nucleoplasm. Implicated in brachydactyly type E2.	MGI:97800:Pthlh
TMEM45A	HGNC:25480	TMEM45A	transmembrane protein 45A	Predicted to be located in membrane.	MGI:1913122:Tmem45a
COL7A1	HGNC:2214	COL7A1	collagen type VII alpha 1 chain	An extracellular matrix structural constituent conferring tensile strength. Involved in endodermal cell differentiation. Located in collagen-containing extracellular matrix and extracellular space. Implicated in epidermolysis bullosa dystrophica (multiple) and nonsyndromic congenital nail disorder 8.	MGI:88462:Col7a1
TNNT3	HGNC:11950	TNNT3	troponin T3, fast skeletal type	Enables calcium-dependent protein binding activity; troponin C binding activity; and troponin I binding activity. Contributes to actin binding activity and tropomyosin binding activity. Involved in positive regulation of calcium-dependent ATPase activity; regulation of striated muscle contraction; and skeletal muscle contraction. Part of troponin complex. Implicated in distal arthrogryposis type 2B and distal arthrogryposis type 2B2.	MGI:109550:Tnnt3
TMPRSS11E	HGNC:24465	TMPRSS11E	transmembrane serine protease 11E	Predicted to enable serine-type peptidase activity. Involved in cognition. Predicted to be located in extracellular region and membrane. Predicted to be active in plasma membrane.	MGI:3513175:Tmprss11e
ARL4D	HGNC:656	ARL4D	ADP ribosylation factor like GTPase 4D	Predicted to enable GTPase activity. Predicted to be involved in intracellular protein transport and vesicle-mediated transport. Located in cytoplasm and plasma membrane.	MGI:1933155:Arl4d
SCPEP1	HGNC:29507	SCPEP1	serine carboxypeptidase 1	Predicted to enable serine-type carboxypeptidase activity. Predicted to be involved in negative regulation of blood pressure and retinoic acid metabolic process. Predicted to act upstream of or within blood vessel diameter maintenance. Located in extracellular exosome.	MGI:1921867:Scpep1
HCAR2	HGNC:24827	HCAR2	hydroxycarboxylic acid receptor 2	Predicted to enable nicotinic acid receptor activity. Involved in neutrophil apoptotic process and positive regulation of neutrophil apoptotic process. Located in cell junction and plasma membrane.	MGI:1933383:Hcar2
GSDMC	HGNC:7151	GSDMC	gasdermin C	Enables wide pore channel activity. Involved in pyroptotic inflammatory response. Located in cytoplasm. Is active in plasma membrane.	MGI:1933176:Gsdmc | MGI:3580656:Gsdmc3 | MGI:1921798:Gsdmc4 | MGI:2146102:Gsdmc2
TMEM40	HGNC:25620	TMEM40	transmembrane protein 40	Predicted to be located in membrane.	MGI:2137870:Tmem40
CYP24A1	HGNC:2602	CYP24A1	cytochrome P450 family 24 subfamily A member 1	Enables monooxygenase activity. Involved in osteoblast differentiation; response to vitamin D; and vitamin D catabolic process. Located in mitochondrion. Implicated in colorectal adenoma; gastrointestinal system cancer (multiple); hypercalcemia; lung cancer (multiple); and ulcerative colitis. Biomarker of several diseases, including gastrointestinal system cancer (multiple); gestational diabetes; lung cancer (multiple); ovary adenocarcinoma; and pre-eclampsia.	MGI:88593:Cyp24a1
IL20RB	HGNC:6004	IL20RB	interleukin 20 receptor subunit beta	Predicted to enable cytokine receptor activity and interleukin-20 binding activity. Predicted to be involved in cytokine-mediated signaling pathway. Predicted to act upstream of or within several processes, including CD8-positive, alpha-beta T cell homeostasis; negative regulation of type IV hypersensitivity; and regulation of cytokine production. Predicted to be located in membrane. Predicted to be active in plasma membrane.	MGI:2143266:Il20rb
GJB6	HGNC:4288	GJB6	gap junction protein beta 6	Enables cytoskeletal protein binding activity and gap junction channel activity involved in cell communication by electrical coupling. Involved in gap junction assembly; gap junction-mediated intercellular transport; and transmembrane transport. Located in actin filament and gap junction. Implicated in Clouston syndrome; autosomal dominant nonsyndromic deafness 3B; autosomal recessive nonsyndromic deafness 1A; autosomal recessive nonsyndromic deafness 1B; and ectodermal dysplasia.	MGI:107588:Gjb6
LPAR3	HGNC:14298	LPAR3	lysophosphatidic acid receptor 3	Predicted to enable G protein-coupled receptor activity. Predicted to be involved in adenylate cyclase-activating G protein-coupled receptor signaling pathway and regulation of metabolic process. Predicted to act upstream of or within several processes, including bleb assembly; positive regulation of MAPK cascade; and positive regulation of collateral sprouting. Located in plasma membrane.	MGI:1929469:Lpar3
HCAR3	HGNC:16824	HCAR3	hydroxycarboxylic acid receptor 3	Predicted to enable GTP binding activity; nicotinic acid receptor activity; and purinergic nucleotide receptor activity. Predicted to be involved in G protein-coupled receptor signaling pathway. Located in cell junction.	MGI:1933383:Hcar2
GPR87	HGNC:4538	GPR87	G protein-coupled receptor 87	Predicted to enable G protein-coupled purinergic nucleotide receptor activity. Predicted to be involved in G protein-coupled receptor signaling pathway. Predicted to be located in plasma membrane.	MGI:1934133:Gpr87
ZNF385A	HGNC:17521	ZNF385A	zinc finger protein 385A	Enables p53 binding activity. Involved in negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator and positive regulation of DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator. Located in chromatin; cytosol; and nucleoplasm.	MGI:1352495:Zfp385a
CLEC2B	Multiple entries : 2
FYB	HGNC:4036	FYB1	FYN binding protein 1	Predicted to enable signaling receptor binding activity. Predicted to be involved in T cell receptor signaling pathway; integrin-mediated signaling pathway; and protein localization to plasma membrane. Predicted to be located in actin cytoskeleton; cytosol; and nucleus. Predicted to be part of protein-containing complex. Predicted to be active in plasma membrane. Implicated in thrombocytopenia.	MGI:1346327:Fyb1
COL4A6	HGNC:2208	COL4A6	collagen type IV alpha 6 chain	An extracellular matrix structural constituent conferring tensile strength. Predicted to be involved in collagen-activated tyrosine kinase receptor signaling pathway and extracellular matrix organization. Predicted to act upstream of or within cellular response to amino acid stimulus. Located in collagen-containing extracellular matrix. Implicated in X-linked deafness 6.	MGI:2152695:Col4a6
PPP4R4	HGNC:23788	PPP4R4	protein phosphatase 4 regulatory subunit 4	Enables protein phosphatase regulator activity. Predicted to act upstream of or within blastocyst hatching. Located in cytosol. Part of protein serine/threonine phosphatase complex.	MGI:1921771:Ppp4r4
LCP1	Multiple entries : 2
LYPD3	HGNC:24880	LYPD3	LY6/PLAUR domain containing 3	Predicted to enable laminin binding activity. Involved in negative regulation of smooth muscle cell apoptotic process. Located in extracellular space.	MGI:1919684:Lypd3
ANXA8	HGNC:546	ANXA8	annexin A8	Enables several functions, including actin filament binding activity; phosphatidylinositol-3,4-bisphosphate binding activity; and phospholipid binding activity. Involved in endosomal transport; endosome organization; and negative regulation of hydrolase activity. Located in cytosol; late endosome membrane; and plasma membrane. Biomarker of cholangiocarcinoma and pancreatic ductal carcinoma.	MGI:1201374:Anxa8
TNC	Multiple entries : 2
SNAI2	HGNC:11094	SNAI2	snail family transcriptional repressor 2	Enables DNA-binding transcription repressor activity, RNA polymerase II-specific and E-box binding activity. Involved in several processes, including mesenchymal cell differentiation; negative regulation of signal transduction; and regulation of gene expression. Located in chromatin and nucleus. Implicated in piebaldism.	MGI:1096393:Snai2
FST	HGNC:3971	FST	follistatin	Enables activin binding activity and activin receptor antagonist activity. Involved in hematopoietic progenitor cell differentiation; negative regulation of activin receptor signaling pathway; and negative regulation of transcription by RNA polymerase II. Acts upstream of or within positive regulation of hair follicle development. Predicted to be located in cytoplasm and nucleus. Predicted to be active in extracellular space. Implicated in polycystic ovary syndrome.	MGI:95586:Fst
ANXA8L1	HGNC:546	ANXA8	annexin A8	Enables several functions, including actin filament binding activity; phosphatidylinositol-3,4-bisphosphate binding activity; and phospholipid binding activity. Involved in endosomal transport; endosome organization; and negative regulation of hydrolase activity. Located in cytosol; late endosome membrane; and plasma membrane. Biomarker of cholangiocarcinoma and pancreatic ductal carcinoma.	MGI:1201374:Anxa8
AIM2	HGNC:357	AIM2	absent in melanoma 2	Enables several functions, including cysteine-type endopeptidase activator activity; identical protein binding activity; and signaling adaptor activity. Involved in several processes, including positive regulation of macromolecule metabolic process; protein-containing complex assembly; and regulation of DNA-binding transcription factor activity. Acts upstream of or within cellular response to xenobiotic stimulus. Located in cytosol; mitochondrion; and nucleoplasm. Part of AIM2 inflammasome complex. Is active in cytoplasm.	MGI:2686159:Aim2
LY6D	HGNC:13348	LY6D	lymphocyte antigen 6 family member D	Predicted to be involved in lymphocyte differentiation. Predicted to be located in extracellular region and plasma membrane. Predicted to be active in cell surface.	MGI:96881:Ly6d
TCF7L1	HGNC:11640	TCF7L1	transcription factor 7 like 1	Enables sequence-specific double-stranded DNA binding activity. Predicted to be involved in canonical Wnt signaling pathway and regulation of transcription by RNA polymerase II. Predicted to act upstream of or within several processes, including axial mesoderm morphogenesis; regulation of DNA-templated transcription; and somatic stem cell population maintenance. Located in cytosol and nucleoplasm.	MGI:1202876:Tcf7l1
KRT13	HGNC:6415	KRT13	keratin 13	Predicted to enable structural molecule activity. Involved in cytoskeleton organization. Located in extracellular exosome and keratin filament. Implicated in white sponge nevus 2.	MGI:101925:Krt13
