# SimpleMine Results Based on Alliance of Genome Resources
# Alliance Database Version: 7.4.0
# Date file generated (UTC): 2024-10-09 18:31
Your Input	Gene ID	Gene Symbol	Gene Name	Description	Mus musculus Ortholog
MEP1A	HGNC:7015	MEP1A	meprin A subunit alpha	Enables metallodipeptidase activity. Involved in epidermal growth factor receptor ligand maturation. Located in extracellular exosome. Part of meprin A complex. Is active in plasma membrane.	MGI:96963:Mep1a
GUCY2C	HGNC:4688	GUCY2C	guanylate cyclase 2C	Enables guanylate cyclase activity. Predicted to be involved in cGMP biosynthetic process and receptor guanylyl cyclase signaling pathway. Predicted to act upstream of or within regulation of cell population proliferation and response to toxic substance. Predicted to be located in endoplasmic reticulum membrane. Predicted to be active in plasma membrane. Implicated in congenital diarrhea 6.	MGI:106903:Gucy2c
SPINK4	HGNC:16646	SPINK4	serine peptidase inhibitor Kazal type 4	Predicted to enable serine-type endopeptidase inhibitor activity. Predicted to be involved in negative regulation of peptidase activity. Predicted to be located in extracellular region.	MGI:1341848:Spink4
MUC2	HGNC:7512	MUC2	mucin 2, oligomeric mucus/gel-forming	Enables cupric ion binding activity and cuprous ion binding activity. Involved in detoxification of copper ion; maintenance of gastrointestinal epithelium; and mucus secretion. Located in collagen-containing extracellular matrix. Implicated in asthma. Biomarker of several diseases, including Barrett's esophagus; adenocarcinoma (multiple); allergic conjunctivitis; cystic fibrosis; and primary biliary cholangitis.	MGI:1339364:Muc2
GALNT8	HGNC:4130	GALNT8	polypeptide N-acetylgalactosaminyltransferase 8	Predicted to enable polypeptide N-acetylgalactosaminyltransferase activity. Predicted to be involved in protein O-linked glycosylation. Predicted to be located in Golgi membrane. Predicted to be active in Golgi apparatus.	N.A.
ITLN1	HGNC:18259	ITLN1	intelectin 1	Enables calcium ion binding activity; identical protein binding activity; and oligosaccharide binding activity. Involved in positive regulation of D-glucose import; positive regulation of protein phosphorylation; and protein homotrimerization. Located in extracellular exosome. Part of receptor complex.	MGI:1333831:Itln1 | MGI:3057189:Itlnb
CHST5	HGNC:1973	CHST5	carbohydrate sulfotransferase 5	Enables N-acetylglucosamine 6-O-sulfotransferase activity. Involved in N-acetylglucosamine metabolic process and sulfur compound metabolic process. Located in Golgi apparatus.	MGI:1931825:Chst5
CDH17	HGNC:1756	CDH17	cadherin 17	Enables integrin binding activity. Involved in integrin-mediated signaling pathway and positive regulation of integrin activation by cell surface receptor linked signal transduction. Located in basolateral plasma membrane; cell junction; and nucleoplasm.	MGI:1095414:Cdh17
FAM105A	HGNC:25629	OTULINL	OTU deubiquitinase with linear linkage specificity like	Located in cytoplasmic side of endoplasmic reticulum membrane and nuclear envelope.	MGI:2687281:Otulinl
SI	Multiple entries : 2
REG4	HGNC:22977	REG4	regenerating family member 4	Enables heparin binding activity and mannan binding activity. Predicted to act upstream of or within response to bacterium. Located in cytoplasm.	MGI:1914959:Reg4
RP11-77K12.7	not found
CLCA1	HGNC:2015	CLCA1	chloride channel accessory 1	Predicted to enable intracellularly calcium-gated chloride channel activity. Predicted to be involved in monoatomic ion transmembrane transport. Predicted to be located in extracellular region; microvillus; and zymogen granule membrane. Predicted to be active in plasma membrane. Implicated in asthma and chronic obstructive pulmonary disease. Biomarker of chronic obstructive pulmonary disease and cystic fibrosis.	MGI:1346342:Clca1
HEPACAM2	HGNC:27364	HEPACAM2	HEPACAM family member 2	Involved in centrosome cycle. Located in several cellular components, including Golgi apparatus; microtubule cytoskeleton; and midbody.	MGI:2141520:Hepacam2
GPA33	HGNC:4445	GPA33	glycoprotein A33	Predicted to enable signaling receptor activity. Located in extracellular exosome.	MGI:1891703:Gpa33
CDX2	HGNC:1806	CDX2	caudal type homeobox 2	Enables DNA-binding transcription repressor activity, RNA polymerase II-specific; RNA polymerase II cis-regulatory region sequence-specific DNA binding activity; and methyl-CpG binding activity. Involved in negative regulation of transcription by RNA polymerase II. Located in nucleoplasm. Biomarker of Barrett's esophagus.	MGI:88361:Cdx2
WNK4	HGNC:14544	WNK4	WNK lysine deficient protein kinase 4	Enables protein serine/threonine kinase activity. Involved in distal tubule morphogenesis; monoatomic ion homeostasis; and renal sodium ion absorption. Predicted to be located in cytosol and membrane. Predicted to be part of protein-containing complex. Predicted to be active in bicellular tight junction; cell body; and cytoplasm. Implicated in hypertension and pseudohypoaldosteronism.	MGI:1917097:Wnk4
BTNL3	HGNC:1143	BTNL3	butyrophilin like 3	Predicted to enable signaling receptor binding activity. Predicted to be involved in T cell receptor signaling pathway and regulation of cytokine production. Predicted to be located in membrane. Predicted to be active in external side of plasma membrane.	N.A.
