# SimpleMine Results Based on Alliance of Genome Resources
# Alliance Database Version: 7.4.0
# Date file generated (UTC): 2024-10-09 18:31
Your Input	Gene ID	Gene Symbol	Gene Name	Description	Mus musculus Ortholog
FOXJ1	HGNC:3816	FOXJ1	forkhead box J1	Enables transcription cis-regulatory region binding activity. Involved in several processes, including cilium organization; kidney epithelium development; and positive regulation of lung ciliated cell differentiation. Located in nucleus. Implicated in primary ciliary dyskinesia 43.	MGI:1347474:Foxj1
DRC1	Multiple entries : 2
CCDC114	HGNC:26560	ODAD1	outer dynein arm docking complex subunit 1	Involved in outer dynein arm assembly. Acts upstream of or within cilium movement. Located in axoneme. Part of outer dynein arm. Implicated in primary ciliary dyskinesia 20.	MGI:2446120:Odad1
C7orf57	HGNC:22247	C7orf57	chromosome 7 open reading frame 57	No description available	MGI:3651127:Gm11992
CFAP54	HGNC:26456	CFAP54	cilia and flagella associated protein 54	Predicted to be involved in cilium assembly; cilium movement involved in cell motility; and spermatogenesis. Predicted to act upstream of or within epithelial cilium movement involved in extracellular fluid movement; establishment of localization in cell; and sperm flagellum assembly. Predicted to be located in axoneme.	MGI:1922208:Cfap54
VWA3A	HGNC:27088	VWA3A	von Willebrand factor A domain containing 3A	Predicted to be located in extracellular region.	MGI:3041229:Vwa3a
RARRES3	HGNC:9869	PLAAT4	phospholipase A and acyltransferase 4	Enables N-acyltransferase activity; phospholipase A1 activity; and phospholipase A2 activity. Involved in N-acylphosphatidylethanolamine metabolic process; positive regulation of keratinocyte differentiation; and positive regulation of protein-glutamine gamma-glutamyltransferase activity. Located in membrane.	N.A.
CFAP73	HGNC:37100	CFAP73	cilia and flagella associated protein 73	Predicted to enable dynein complex binding activity. Predicted to be involved in cilium movement; inner dynein arm assembly; and spermatid development. Predicted to be located in axonemal doublet microtubule and motile cilium.	MGI:3779542:Cfap73
C11orf70	HGNC:28188	CFAP300	cilia and flagella associated protein 300	Predicted to be located in cytoplasm and motile cilium. Implicated in primary ciliary dyskinesia 38.	MGI:3045346:Cfap300
CFAP45	HGNC:17229	CFAP45	cilia and flagella associated protein 45	Enables AMP binding activity. Involved in establishment of left/right asymmetry and flagellated sperm motility. Located in 9+2 motile cilium; axonemal microtubule; and nucleoplasm. Implicated in visceral heterotaxy.	MGI:1919120:Cfap45
ZBBX	HGNC:26245	ZBBX	zinc finger B-box domain containing	Predicted to enable zinc ion binding activity.	MGI:2674085:Zbbx
CST6	Multiple entries : 2
CFAP43	HGNC:26684	CFAP43	cilia and flagella associated protein 43	Involved in sperm axoneme assembly. Predicted to be located in several cellular components, including 9+2 motile cilium; cytoskeleton; and extracellular region. Predicted to be active in axoneme. Implicated in normal pressure hydrocephalus and spermatogenic failure 19.	MGI:1289258:Cfap43
C15orf52	HGNC:33488	CCDC9B	coiled-coil domain containing 9B	Enables RNA binding activity.	MGI:2685199:Ccdc9b
RSPH4A	HGNC:21558	RSPH4A	radial spoke head component 4A	Involved in axoneme assembly and cilium movement. Located in axoneme. Implicated in primary ciliary dyskinesia 11.	MGI:3027894:Rsph4a
MAPK15	HGNC:24667	MAPK15	mitogen-activated protein kinase 15	Enables MAP kinase activity and chromatin binding activity. Involved in several processes, including dopamine uptake; protein localization to ciliary transition zone; and regulation of organelle organization. Located in several cellular components, including Golgi apparatus; autophagosome; and microtubule organizing center. Biomarker of breast cancer.	MGI:2652894:Mapk15
FAM81B	HGNC:26335	FAM81B	family with sequence similarity 81 member B	Located in nucleus.	MGI:2685122:Fam81b
PPIL6	HGNC:21557	PPIL6	peptidylprolyl isomerase like 6	Predicted to enable cyclosporin A binding activity and peptidyl-prolyl cis-trans isomerase activity. Predicted to be involved in protein peptidyl-prolyl isomerization. Predicted to be active in cytoplasm.	MGI:1920325:Ppil6
KRT80	HGNC:27056	KRT80	keratin 80	Predicted to be a structural constituent of skin epidermis. Predicted to be involved in intermediate filament organization and keratinization. Located in cytoplasm and intermediate filament.	MGI:1921377:Krt80
DAW1	HGNC:26383	DAW1	dynein assembly factor with WD repeats 1	Predicted to enable ubiquitin-like ligase-substrate adaptor activity. Predicted to be involved in protein polyubiquitination. Predicted to act upstream of with a positive effect on outer dynein arm assembly. Predicted to act upstream of or within with a positive effect on intraciliary transport. Predicted to act upstream of or within several processes, including cerebrospinal fluid circulation; determination of left/right symmetry; and heart development. Predicted to be located in ciliary basal body. Predicted to be part of SCF ubiquitin ligase complex. Implicated in primary ciliary dyskinesia.	MGI:1923089:Daw1
CDHR4	HGNC:34527	CDHR4	cadherin related family member 4	Predicted to enable calcium ion binding activity. Predicted to be involved in cell adhesion. Predicted to be located in membrane. Predicted to be active in plasma membrane.	MGI:1916648:Cdhr4
VGLL1	HGNC:20985	VGLL1	vestigial like family member 1	Predicted to enable transcription coactivator activity. Predicted to be involved in regulation of transcription by RNA polymerase II. Located in nucleoplasm.	MGI:2655768:Vgll1
MAATS1	HGNC:24010	CFAP91	cilia and flagella associated protein 91	Involved in axonemal central apparatus assembly and spermatogenesis. Predicted to be located in motile cilium and radial spoke stalk. Implicated in spermatogenic failure 51.	MGI:2443598:Cfap91
ZMYND10	HGNC:19412	ZMYND10	zinc finger MYND-type containing 10	Predicted to enable metal ion binding activity; molecular adaptor activity; and protein folding chaperone. Involved in inner dynein arm assembly; motile cilium assembly; and outer dynein arm assembly. Located in cytoplasm. Implicated in primary ciliary dyskinesia 22.	MGI:2387863:Zmynd10
ELFN2	HGNC:29396	ELFN2	extracellular leucine rich repeat and fibronectin type III domain containing 2	Predicted to enable protein phosphatase inhibitor activity. Predicted to be involved in synaptic membrane adhesion. Located in extracellular space.	MGI:3608416:Elfn2
